,GC1,SI1,PL1,PA1,HG1,CL1,CO1,XB1,HO1,QS1,NG1,C1,W1,S1,SB1,CT1,SOYM1,BO1,KC1,CC1,ALUMINIUM,NICKEL,ZINC,LEAD
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-02,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-03,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-04,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-05,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-08,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-09,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-10,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-11,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-12,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-15,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-16,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-17,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-18,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-19,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-22,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-23,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-24,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-25,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-26,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-29,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-30,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-31,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-01,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-02,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-05,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-06,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-07,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-08,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-09,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-12,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-13,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-14,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-15,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-16,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-19,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-20,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-21,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-22,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-23,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-26,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-27,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-28,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-01,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-02,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-05,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-06,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-07,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-08,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-09,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-12,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-13,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-14,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-15,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-16,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-19,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-20,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-21,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-22,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-23,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-26,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-27,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-28,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-29,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-30,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-02,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-03,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-04,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-05,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-06,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-09,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-10,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-11,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-12,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-13,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-16,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-17,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-18,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-19,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-20,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-23,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-24,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-25,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-26,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-27,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-30,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-01,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-02,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-03,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-04,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-07,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-08,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-09,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-10,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-11,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-14,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-15,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-16,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-17,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-18,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-21,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-22,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-23,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-24,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-25,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-28,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-29,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-30,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-31,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-01,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-04,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-05,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-06,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-07,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-08,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-11,,,,,,,,,,,,,,,,,,,,,,,,
