,GC1,SI1,PL1,PA1,HG1,CL1,CO1,XB1,HO1,QS1,NG1,C1,W1,S1,SB1,CT1,SOYM1,BO1,KC1,CC1,ALUMINIUM,NICKEL,ZINC,LEAD
1990-01-05,,,,,,,,,,,,,,,,,,,,,66825.0,6798.0,87075.0,22950.0
1990-01-12,,,,,,324222.0,,210982.0,109207.0,,,,,,,,,,,,67725.0,6702.0,87200.0,22525.0
1990-01-19,,,,,,327819.0,,215395.0,109516.0,,,,,,,,,,,,76075.0,7356.0,85150.0,23000.0
1990-01-26,,,,,,326173.0,,219221.0,114347.0,,,,,,,,,,,,87475.0,7146.0,73675.0,18350.0
1990-02-02,,,,,,324123.0,,229695.0,119922.0,,,,,,,,,,,,86475.0,6930.0,70850.0,17925.0
1990-02-09,,,,,,334128.0,,234249.0,122954.0,,,,,,,,,,,,93150.0,6708.0,71725.0,16025.0
1990-02-16,,,,,,329316.0,,242038.0,122229.0,,,,,,,,,,,,90125.0,6840.0,59725.0,13275.0
1990-02-23,,,,,,326869.0,,243212.0,120413.0,,,,,,,,,,,,86275.0,6414.0,54375.0,13275.0
1990-03-02,,,,,,322293.0,,249028.0,118477.0,,,,,,,,,,,,86575.0,5406.0,54925.0,14000.0
1990-03-09,,,,,,325816.0,,251074.0,115706.0,,,,,,,,,,,,85500.0,4866.0,51525.0,12900.0
1990-03-16,,,,,,332142.0,,247348.0,110772.0,,,,,,,,,,,,77775.0,3942.0,51425.0,16475.0
1990-03-23,,,,,,330696.0,,245224.0,107077.0,,,,,,,,,,,,82350.0,5760.0,51525.0,23325.0
1990-03-30,,,,,,339931.0,,236805.0,103187.0,,,,,,,,,,,,81025.0,6366.0,46175.0,26650.0
1990-04-06,,,,,,342865.0,,230975.0,102203.0,,,,,,,,,,,,100725.0,7734.0,45950.0,29775.0
1990-04-13,,,,,,349942.0,,227448.0,98960.0,,,,,,,,,,,,134875.0,7476.0,45950.0,30725.0
1990-04-20,,,,,,350859.0,,226077.0,98140.0,,,,,,,,,,,,138650.0,6756.0,43975.0,32300.0
1990-04-27,,,,,,349299.0,,224206.0,96385.0,,,,,,,,,,,,133025.0,7032.0,43550.0,33375.0
1990-05-04,,,,,,353507.0,,223250.0,96581.0,,,,,,,,,,,,144225.0,7200.0,54125.0,32225.0
1990-05-11,,,,,,353485.0,,222618.0,96669.0,,,,,,,,,,,,135875.0,6024.0,53775.0,32250.0
1990-05-18,,,,,,358198.0,,217528.0,97054.0,,,,,,,,,,,,155375.0,8496.0,52800.0,34525.0
1990-05-25,,,,,,361994.0,,217047.0,98930.0,,,,,,,,,,,,153175.0,8376.0,46450.0,33825.0
1990-06-01,,,,,,362719.0,,218532.0,100713.0,,,,,,,,,,,,151400.0,8670.0,44550.0,34200.0
1990-06-08,,,,,,365618.0,,222014.0,103054.0,,,,,,,,,,,,151000.0,8976.0,43450.0,35325.0
1990-06-15,,,,,,367486.0,,219308.0,105527.0,,,,,,,,,,,,148075.0,8712.0,38975.0,40650.0
1990-06-22,,,,,,367001.0,,220061.0,108385.0,,,,,,,,,,,,149650.0,8316.0,40700.0,43100.0
1990-06-29,,,,,,367704.0,,218970.0,109580.0,,,,,,,,,,,,154200.0,8376.0,42725.0,42900.0
1990-07-06,,,,,,368708.0,,218597.0,110964.0,,,,,,,,,,,,174500.0,9012.0,41125.0,42650.0
1990-07-13,,,,,,365658.0,,217055.0,113826.0,,,,,,,,,,,,168650.0,9120.0,40675.0,43850.0
1990-07-20,,,,,,370201.0,,218063.0,117826.0,,,,,,,,,,,,158825.0,7668.0,39650.0,43275.0
1990-07-27,,,,,,368024.0,,218705.0,120499.0,,,,,,,,,,,,158025.0,6390.0,41050.0,42900.0
1990-08-03,,,,,,372593.0,,217799.0,122438.0,,,,,,,,,,,,152575.0,5838.0,36650.0,40600.0
1990-08-10,,,,,,364848.0,,220195.0,122138.0,,,,,,,,,,,,148800.0,4980.0,36100.0,39650.0
1990-08-17,,,,,,360003.0,,213725.0,122994.0,,,,,,,,,,,,146300.0,4968.0,37600.0,39100.0
1990-08-24,,,,,,360333.0,,216819.0,124943.0,,,,,,,,,,,,146150.0,4794.0,41350.0,39825.0
1990-08-31,,,,,,361957.0,,211198.0,126340.0,,,,,,,,,,,,136475.0,4338.0,43275.0,40000.0
1990-09-07,,,,,,356710.0,,210922.0,129733.0,,,,,,,,,,,,126450.0,3762.0,43575.0,39875.0
1990-09-14,,,,,,359583.0,,212665.0,134435.0,,,,,,,,,,,,125875.0,2340.0,47125.0,42750.0
1990-09-21,,,,,,353936.0,,219164.0,135971.0,,,,,,,,,,,,131925.0,3612.0,60675.0,42600.0
1990-09-28,,,,,,348211.0,,222160.0,137983.0,,,,,,,,,,,,136000.0,3444.0,60725.0,42875.0
1990-10-05,,,,,,338384.0,,222735.0,136899.0,,,,,,,,,,,,143175.0,3366.0,65000.0,42800.0
1990-10-12,,,,,,336271.0,,225934.0,134007.0,,,,,,,,,,,,141825.0,3312.0,63550.0,44850.0
1990-10-19,,,,,,328752.0,,225997.0,136646.0,,,,,,,,,,,,161000.0,5028.0,61775.0,45325.0
1990-10-26,,,,,,325992.0,,221043.0,136997.0,,,,,,,,,,,,169725.0,3618.0,59550.0,45575.0
1990-11-02,,,,,,327234.0,,222384.0,138549.0,,,,,,,,,,,,205700.0,2544.0,62550.0,44900.0
1990-11-09,,,,,,331392.0,,222223.0,137892.0,,,,,,,,,,,,282175.0,2994.0,61500.0,45600.0
1990-11-16,,,,,,333036.0,,219499.0,136160.0,,,,,,,,,,,,294800.0,4110.0,65200.0,45375.0
