,GC1,SI1,PL1,PA1,HG1,CL1,CO1,XB1,HO1,QS1,NG1,C1,W1,S1,SB1,CT1,SOYM1,BO1,KC1,CC1,ALUMINIUM,NICKEL,ZINC,LEAD
1990-01-05,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-12,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-19,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-26,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-02,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-09,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-16,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-23,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-02,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-09,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-16,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-23,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-30,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-06,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-13,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-20,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-27,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-04,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-11,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-18,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-25,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-01,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-08,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-15,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-22,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-29,,,,,,,,,,,,,,,,,,,,,,,,
1990-07-06,,,,,,,,,,,,,,,,,,,,,,,,
1990-07-13,,,,,,,,,,,,,,,,,,,,,,,,
1990-07-20,,,,,,,,,,,,,,,,,,,,,,,,
1990-07-27,,,,,,,,,,,,,,,,,,,,,,,,
1990-08-03,,,,,,,,,,,,,,,,,,,,,,,,
1990-08-10,,,,,,,,,,,,,,,,,,,,,,,,
1990-08-17,,,,,,,,,,,,,,,,,,,,,,,,
1990-08-24,,,,,,,,,,,,,,,,,,,,,,,,
1990-08-31,,,,,,,,,,,,,,,,,,,,,,,,
1990-09-07,,,,,,,,,,,,,,,,,,,,,,,,
1990-09-14,,,,,,,,,,,,,,,,,,,,,,,,
1990-09-21,,,,,,,,,,,,,,,,,,,,,,,,
1990-09-28,,,,,,,,,,,,,,,,,,,,,,,,
1990-10-05,,,,,,,,,,,,,,,,,,,,,,,,
1990-10-12,,,,,,,,,,,,,,,,,,,,,,,,
1990-10-19,,,,,,,,,,,,,,,,,,,,,,,,
1990-10-26,,,,,,,,,,,,,,,,,,,,,,,,
1990-11-02,,,,,,,,,,,,,,,,,,,,,,,,
1990-11-09,,,,,,,,,,,,,,,,,,,,,,,,
1990-11-16,,,,,,,,,,,,,,,,,,,,,,,,
1990-11-23,,,,,,,,,,,,,,,,,,,,,,,,
1990-11-30,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-07,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-14,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-21,,,,,,,,,,,,,,,,,,,,,0.9931645569620253,0.30315789473684207,0.5074509803921569,1.0
1990-12-28,,,,,,,,,,,,,,,,,,,,,0.9644871794871794,0.3402631578947369,0.6327272727272727,1.0
1991-01-04,,,,,,,,,,,,,,,,,,,,,1.0,0.335625,0.61,0.98625
1991-01-11,,,,,,,,,,,,,,,,,,,,,0.9733333333333333,0.07266666666666666,0.614,0.9595294117647057
1991-01-18,,,,,,,,,,,,,,,,,,,,,1.0,0.3142857142857142,0.7298630136986302,1.0
1991-01-25,,,,,,,,,,,,,,,,,,,,,1.0,0.15735849056603776,0.7176470588235293,1.0
1991-02-01,,,,,,,,,,,,,,,,,,,,,0.8252676659528907,0.22214285714285714,0.7046666666666666,0.9925892857142857
1991-02-08,,,,,,,,,,,,,,,,,,,,,0.8920661157024794,0.37749999999999995,0.6875,0.9697872340425532
1991-02-15,,,,,,,,,,,,,,,,,,,,,0.8565714285714285,0.1530434782608696,0.598181818181818,1.0
1991-02-22,,,,,,,,,,,,,,,,,,,,,0.9118518518518519,0.3158333333333333,0.7761111111111111,1.0
1991-03-01,,,,,,,,,,,,,,,,,,,,,1.0,0.6694736842105263,0.7870270270270271,1.0
1991-03-08,,,,,,,,,,,,,,,,,,,,,0.9942857142857143,0.6733333333333333,0.736551724137931,0.99
1991-03-15,,,,,,,,,,,,,,,,,,,,,0.9283809523809524,0.6032258064516128,0.851111111111111,0.9584105960264899
1991-03-22,,,,,,,,,,,,,,,,,,,,,1.0,0.5942222222222221,0.8903225806451613,0.9316546762589929
1991-03-29,,,,,,,,,,,,,,,,,,,,,0.9889458689458689,0.5816666666666667,0.9554999999999999,0.9158024691358025
1991-04-05,,,,,,,,,,,,,,,,,,,,,1.0,0.6251282051282051,1.0,0.9082352941176471
1991-04-12,,,,,,,,,,,,,,,,,,,,,1.0,0.6551724137931034,1.0,0.8778125
1991-04-19,,,,,,,,,,,,,,,,,,,,,1.0,0.7023076923076923,1.0,0.9237931034482759
1991-04-26,,,,,,,,,,,,,,,,,,,,,1.0,0.5317241379310345,1.0,0.9395744680851065
1991-05-03,,,,,,,,,,,,,,,,,,,,,0.9791153238546604,0.6347727272727273,1.0,0.9677777777777777
1991-05-10,,,,,,,,,,,,,,,,,,,,,0.8619108280254777,0.9048979591836736,1.0,1.0
1991-05-17,,,,,,,,,,,,,,,,,,,,,1.0,0.8564814814814815,0.9956470588235294,0.9959259259259259
1991-05-24,,,,,,,,,,,,,,,,,,,,,1.0,0.8573033707865169,1.0,0.9488888888888888
1991-05-31,,,,,,,,,,,,,,,,,,,,,1.0,0.8425974025974026,1.0,1.0
1991-06-07,,,,,,,,,,,,,,,,,,,,,1.0,0.8707462686567164,0.964,1.0
1991-06-14,,,,,,,,,,,,,,,,,,,,,1.0,0.7784,0.9150375939849624,1.0
1991-06-21,,,,,,,,,,,,,,,,,,,,,1.0,0.6366153846153846,0.893,1.0
1991-06-28,,,,,,,,,,,,,,,,,,,,,1.0,0.5138666666666667,0.8750769230769231,1.0
1991-07-05,,,,,,,,,,,,,,,,,,,,,1.0,0.4424,0.846938775510204,0.99
1991-07-12,,,,,,,,,,,,,,,,,,,,,1.0,0.11263157894736843,0.84375,1.0
1991-07-19,,,,,,,,,,,,,,,,,,,,,1.0,0.5028571428571429,0.9115151515151515,1.0
1991-07-26,,,,,,,,,,,,,,,,,,,,,1.0,0.85,0.9809090909090908,0.992
1991-08-02,,,,,,,,,,,,,,,,,,,,,1.0,0.9035443037974684,1.0,1.0
1991-08-09,,,,,,,,,,,,,,,,,,,,,1.0,0.89,1.0,1.0
1991-08-16,,,,,,,,,,,,,,,,,,,,,1.0,0.9065641025641026,1.0,1.0
1991-08-23,,,,,,,,,,,,,,,,,,,,,1.0,0.9035114503816795,1.0,1.0
1991-08-30,,,,,,,,,,,,,,,,,,,,,1.0,0.8690625,1.0,1.0
1991-09-06,,,,,,,,,,,,,,,,,,,,,1.0,0.8913043478260869,1.0,1.0
1991-09-13,,,,,,,,,,,,,,,,,,,,,1.0,0.935,1.0,1.0
1991-09-20,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
1991-09-27,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.979047619047619,1.0
1991-10-04,,,,,,,,,,,,,,,,,,,,,1.0,0.971578947368421,1.0,0.989
1991-10-11,,,,,,,,,,,,,,,,,,,,,1.0,0.9459090909090908,0.9836734693877551,1.0
1991-10-18,,,,,,,,,,,,,,,,,,,,,1.0,0.8577777777777778,0.906,1.0
1991-10-25,,,,,,,,,,,,,,,,,,,,,1.0,0.7920370370370371,0.983,1.0
1991-11-01,,,,,,,,,,,,,,,,,,,,,1.0,0.81,1.0,1.0
1991-11-08,,,,,,,,,,,,,,,,,,,,,1.0,0.9141463414634147,1.0,1.0
