friday,net_position,net_position_oi,price
2010-01-01,6294.0,0.05632013171788034,1.0528
2010-01-08,6184.0,0.05179923607853649,1.0298
2010-01-15,75316.0,0.5882729694053691,1.0291
2010-01-22,74938.0,0.5700571289471081,1.0578
2010-01-29,51626.0,0.4837337431130767,1.0704
2010-02-05,36447.0,0.3698663500471885,1.0716
2010-02-12,30359.0,0.311348812405136,1.0503
2010-02-19,48889.0,0.4515929391551742,1.0391
2010-02-26,57001.0,0.48798465871636604,1.0517
2010-03-05,62996.0,0.49008868834604014,1.0288
2010-03-12,87728.0,0.5908405172413793,1.0193
2010-03-19,94954.0,0.49523044587116727,1.0173
2010-03-26,105719.0,0.6435489271039415,1.0266
2010-04-02,101594.0,0.6201941273426531,1.0111
2010-04-09,98917.0,0.5889108510055606,1.0027
2010-04-16,101124.0,0.6251251808167353,1.0128
2010-04-23,101911.0,0.6346036490441497,0.9991
2010-04-30,92813.0,0.5904810983445942,1.0179
2010-05-07,85713.0,0.5575989799502986,1.0439
2010-05-14,72995.0,0.5406196073203428,1.0356
2010-05-21,58857.0,0.4175410219848043,1.0594999999999999
2010-05-28,52734.0,0.3644821055832792,1.0546
2010-06-04,46431.0,0.3359112744530617,1.0629
2010-06-11,46071.0,0.34163613982529256,1.0322
2010-06-18,48686.0,0.3425166382912862,1.0218
2010-06-25,48794.0,0.4821922681634912,1.0355
2010-07-02,43406.0,0.4075374619746873,1.0624
2010-07-09,31369.0,0.28045596781403664,1.0337
2010-07-16,43777.0,0.4419151642405766,1.0582
2010-07-23,41799.0,0.42924479861981146,1.0358
2010-07-30,45751.0,0.4606562824088525,1.0297
2010-08-06,58022.0,0.5034184771291733,1.0274
2010-08-13,70676.0,0.6019692014172799,1.0419
2010-08-20,51935.0,0.4844095398878867,1.0475
2010-08-27,38083.0,0.34318593481062276,1.0508
2010-09-03,19318.0,0.15198577542799596,1.0388
2010-09-10,19513.0,0.16466666666666666,1.037
2010-09-17,34384.0,0.27491145171220005,1.033
2010-09-24,51392.0,0.44417939343653035,1.0241
2010-10-01,54405.0,0.4721180880974695,1.0197
2010-10-08,65009.0,0.4704830830468609,1.0111
2010-10-15,68266.0,0.5021220256702585,1.0104
2010-10-22,59647.0,0.4710337202874516,1.0259
2010-10-29,47677.0,0.4112319621863598,1.0194
2010-11-05,46856.0,0.3906326855580288,1.0001
2010-11-12,63024.0,0.45403068943159713,1.0123
2010-11-19,64243.0,0.47717836159576915,1.0168
2010-11-26,45282.0,0.39299445423222795,1.0213
2010-12-03,44680.0,0.40422683023920675,1.0039
2010-12-10,57757.0,0.47879069227644633,1.0091
2010-12-17,61918.0,0.41693376787782477,1.014
2010-12-24,51832.0,0.5252160872252678,1.0083
2010-12-31,61339.0,0.5069674028034912,0.998
2011-01-07,65284.0,0.5053801730944898,0.9935
2011-01-14,75891.0,0.5564631436930364,0.9909
2011-01-21,74702.0,0.5484607534342122,0.9931
2011-01-28,64801.0,0.5137839444995045,1.0013
2011-02-04,64798.0,0.5029260644820788,0.9873
2011-02-11,76723.0,0.5159027945883429,0.9874
2011-02-18,101734.0,0.6872990136468045,0.9868
2011-02-25,101057.0,0.683570418772026,0.9774
2011-03-04,104602.0,0.6593006252521177,0.9734
2011-03-11,114271.0,0.6300296624654029,0.9732
2011-03-18,91404.0,0.4600031202347222,0.9843
2011-03-25,77806.0,0.6064474894386507,0.9805
2011-04-01,81044.0,0.6252237240017281,0.9632
2011-04-08,95032.0,0.624528475480725,0.9554
2011-04-15,99760.0,0.6671615539460573,0.9592
2011-04-22,98303.0,0.6528507388344679,0.9545
2011-04-29,95826.0,0.6431059360424147,0.9451
2011-05-06,86710.0,0.5656118927874862,0.9666
2011-05-13,69230.0,0.5383317392555268,0.9686
2011-05-20,58192.0,0.44111917161288366,0.9742
2011-05-27,54655.0,0.4225782258750396,0.9761
2011-06-03,60058.0,0.44381221226251266,0.9778
2011-06-10,38100.0,0.28043780684386016,0.9799
2011-06-17,49174.0,0.3304282383297832,0.9794
2011-06-24,28248.0,0.2951909210608816,0.9886
2011-07-01,19690.0,0.19437123029387665,0.9585
2011-07-08,37136.0,0.3169466065820019,0.9627
2011-07-15,47218.0,0.39177259301052075,0.9532
2011-07-22,55916.0,0.4118556928833434,0.948
2011-07-29,64072.0,0.45287286452406367,0.9552
2011-08-05,70719.0,0.481740338830646,0.982
2011-08-12,46563.0,0.35377379993617897,0.9873
2011-08-19,23868.0,0.20519786445661425,0.9901
2011-08-26,28613.0,0.24168222246623478,0.9813
2011-09-02,32734.0,0.2698687508244295,0.9853
2011-09-09,21319.0,0.17143937018005195,0.9967
2011-09-16,9807.0,0.07811230585424134,0.9781
2011-09-23,13881.0,0.10516387108504932,1.0281
2011-09-30,-9625.0,-0.0957778153702248,1.0503
2011-10-07,-7431.0,-0.06029796004479138,1.0395
2011-10-14,-22905.0,-0.1698692514776882,1.0098
2011-10-21,-22195.0,-0.16313735290442555,1.0066
2011-10-28,-14468.0,-0.10857541668855486,0.9917
2011-11-04,-4797.0,-0.03581588083771979,1.0188
2011-11-11,-4661.0,-0.03537062894609033,1.0104
2011-11-18,-6911.0,-0.051389777070537324,1.0276
2011-11-25,-15861.0,-0.11267155400221635,1.0468
2011-12-02,-21865.0,-0.14053140345013754,1.0195
2011-12-09,-15278.0,-0.09381178695550725,1.0169
2011-12-16,-8020.0,-0.04470830894444909,1.0383
2011-12-23,4327.0,0.02394642906555245,1.0206
2011-12-30,-18860.0,-0.15059086553816672,1.0213
2012-01-06,-18439.0,-0.1455396467078157,1.0284
2012-01-13,-18464.0,-0.14602627270786045,1.0232
2012-01-20,-22518.0,-0.17440806747682228,1.0132
2012-01-27,-6670.0,-0.05386329866270431,1.0018
2012-02-03,-6715.0,-0.05262580427746299,0.9934
2012-02-10,18642.0,0.1443002113183011,1.0014
2012-02-17,25234.0,0.19366226908878809,0.9968
2012-02-24,32952.0,0.24090008553444406,0.9993
2012-03-02,41682.0,0.2888725639675103,0.9893
2012-03-09,46565.0,0.2962168970540525,0.9905
2012-03-16,50628.0,0.2835381220667794,0.9917
2012-03-23,62692.0,0.3196320957693053,0.9978
2012-03-30,45307.0,0.34958295718463306,0.9987
2012-04-06,51343.0,0.38310525451804983,0.9972
2012-04-13,42204.0,0.35137205275076594,0.9997
2012-04-20,58274.0,0.4260729692183958,0.9924
2012-04-27,67868.0,0.47332045443450244,0.9804
2012-05-04,101906.0,0.5915035145661499,0.9961
2012-05-11,81752.0,0.5179684728065285,1.0005
2012-05-18,67953.0,0.4483186319463229,1.0222
2012-05-25,51580.0,0.35377471724771775,1.0293
2012-06-01,43503.0,0.3033491621864737,1.041
2012-06-08,22845.0,0.14358171807828646,1.0266
2012-06-15,12855.0,0.08779358434125786,1.0217
2012-06-22,12433.0,0.08644653497702036,1.0246
2012-06-29,8790.0,0.08118067548971619,1.0166
2012-07-06,8841.0,0.08235677689799721,1.0196
2012-07-13,5375.0,0.04925950364749441,1.0141
2012-07-20,-407.0,-0.003580004749883452,1.0125
2012-07-27,-1623.0,-0.013257312759857216,1.0033
2012-08-03,21923.0,0.19062317945864166,1.0013
2012-08-10,32331.0,0.2684853014449427,0.9911
2012-08-17,45283.0,0.33243036896739053,0.9893
2012-08-24,74408.0,0.4502399206113891,0.9923
2012-08-31,83965.0,0.4658200741184564,0.9863
2012-09-07,86553.0,0.4587266338423053,0.9786
2012-09-14,129911.0,0.4858829117593157,0.9714
2012-09-21,139332.0,0.44819156190892834,0.9764
2012-09-28,137729.0,0.6153560897149495,0.9837
2012-10-05,130957.0,0.6201408323980812,0.9786
2012-10-12,122674.0,0.6007100359914795,0.9802
2012-10-19,121348.0,0.5972379443060901,0.9936
2012-10-26,110845.0,0.5696130978380962,0.9969
2012-11-02,103792.0,0.5587484792041258,0.9958
2012-11-09,92876.0,0.5042593507544127,1.0016
2012-11-16,83321.0,0.45511202875277207,1.0012
2012-11-23,75274.0,0.40764006975056594,0.9929
2012-11-30,78880.0,0.4244899716396786,0.9944
2012-12-07,79261.0,0.4342854324992192,0.9884
2012-12-14,86192.0,0.46493011915614363,0.9855
2012-12-21,100971.0,0.4440393681396003,0.9932
2012-12-28,88376.0,0.5869936303194139,0.997
2013-01-04,88890.0,0.6044964909417333,0.9872
2013-01-11,90964.0,0.6309670796165532,0.9848
2013-01-18,98960.0,0.6465184952896136,0.9917
2013-01-25,87949.0,0.5800390434358224,1.0058
2013-02-01,44166.0,0.2769219193800199,0.9965
2013-02-08,34188.0,0.2185220931793341,1.002
2013-02-15,32801.0,0.21680734478587624,1.0064
2013-02-22,23063.0,0.13566151384673303,1.0215
2013-03-01,-24609.0,-0.11247514796956055,1.0268
2013-03-08,-53419.0,-0.2172431322312369,1.0287
2013-03-15,-65623.0,-0.2518856011085223,1.0194
2013-03-22,-73871.0,-0.2297791201510481,1.0232
2013-03-29,-70837.0,-0.41212815843519646,1.0174
2013-04-05,-71484.0,-0.40958001489715234,1.0176
2013-04-12,-78969.0,-0.459849296562005,1.0136
2013-04-19,-85483.0,-0.4705710731154147,1.0266
2013-04-26,-82623.0,-0.4511959370904325,1.0167
2013-05-03,-76534.0,-0.4433977567667779,1.008
2013-05-10,-52270.0,-0.33349496599333905,1.01
2013-05-17,-36702.0,-0.2386066650196986,1.0281
2013-05-24,-40036.0,-0.25605177827947223,1.0318
2013-05-31,-43336.0,-0.26607070496211793,1.0375
2013-06-07,-52754.0,-0.32887387162735027,1.0197
2013-06-14,-48346.0,-0.3107788434342136,1.017
2013-06-21,-34583.0,-0.22206026827279324,1.0457
2013-06-28,-20207.0,-0.1570170871764587,1.0519
2013-07-05,-29946.0,-0.20416428045488014,1.0582
2013-07-12,-40404.0,-0.2633314649947209,1.0395
2013-07-19,-37172.0,-0.2506304192456545,1.0368
2013-07-26,-29843.0,-0.22229753888326084,1.0278
2013-08-02,-24011.0,-0.19025244441627182,1.0392
2013-08-09,-21768.0,-0.1773317149071713,1.0289
2013-08-16,-19850.0,-0.16981777739755324,1.0336
2013-08-23,-21773.0,-0.17904249720413132,1.0496
2013-08-30,-40451.0,-0.2703040427664551,1.0537
2013-09-06,-47940.0,-0.299493971387518,1.0405
2013-09-13,-43179.0,-0.29459241874300685,1.0351
2013-09-20,-24275.0,-0.15884597012190732,1.0304
2013-09-27,-5412.0,-0.0414868418026692,1.0306
2013-10-04,663.0,0.004950532014187045,1.0294
2013-10-11,-9797.0,-0.076807287950891,1.0349
2013-10-18,-15730.0,-0.12845115508047592,1.0286
2013-10-25,-6200.0,-0.05180394712655203,1.0448
2013-11-01,-19681.0,-0.15148319761087423,1.042
2013-11-08,-23939.0,-0.1830212769210774,1.0479
2013-11-15,-23308.0,-0.17919168466937796,1.0439
2013-11-22,-23349.0,-0.17468297609695882,1.0514000000000001
2013-11-29,-39110.0,-0.2693247942705643,1.0614
2013-12-06,-52997.0,-0.31500832144555396,1.064
2013-12-13,-75356.0,-0.43316261129984424,1.0585
2013-12-20,-82141.0,-0.4063449190189269,1.0635
2013-12-27,-74960.0,-0.4524794012012193,1.0706
2014-01-03,-74496.0,-0.4478484087001479,1.0635
2014-01-10,-76844.0,-0.4441849710982659,1.0892
2014-01-17,-82184.0,-0.42418862003468494,1.0964
2014-01-24,-86804.0,-0.44809233993568004,1.1088
2014-01-31,-72448.0,-0.3862760256991283,1.1128
2014-02-07,-77034.0,-0.40340807926350297,1.1032
2014-02-14,-74090.0,-0.41599523871018457,1.0977999999999999
2014-02-21,-77411.0,-0.442106044684059,1.1108
2014-02-28,-66434.0,-0.4015279263597517,1.1064
2014-03-07,-68289.0,-0.39569016467534274,1.1087
2014-03-14,-63376.0,-0.3838387509009091,1.1105
2014-03-21,-76040.0,-0.3785966432159803,1.1221
2014-03-28,-49730.0,-0.3351778336444945,1.1061
2014-04-04,-49025.0,-0.3620485931615095,1.0981
2014-04-11,-43568.0,-0.3237667761544521,1.098
2014-04-18,-37784.0,-0.28273606860375494,1.1024
2014-04-25,-35731.0,-0.2706401866327334,1.1039
2014-05-02,-31755.0,-0.22663202894723694,1.0972
2014-05-09,-32688.0,-0.23278901003425462,1.0898
2014-05-16,-26839.0,-0.19719044575223904,1.0861
2014-05-23,-28014.0,-0.20543545217212755,1.0861
2014-05-30,-21048.0,-0.1429833023110471,1.0846
2014-06-06,-22910.0,-0.15411523325821533,1.0931
2014-06-13,-26698.0,-0.19724865535788166,1.0855
2014-06-20,-7748.0,-0.0542250465405988,1.0758
2014-06-27,-3313.0,-0.027975039475795216,1.0666
2014-07-04,9422.0,0.07172382293609408,1.0653
2014-07-11,22561.0,0.1572019844477271,1.0734
2014-07-18,25960.0,0.17700563199738173,1.0733
2014-07-25,27937.0,0.19150015423107242,1.0812
2014-08-01,29906.0,0.21152621974508778,1.0916
2014-08-08,22492.0,0.16254146281535226,1.0973
2014-08-15,14301.0,0.11168729743449568,1.0897000000000001
2014-08-22,5949.0,0.044951036692256544,1.0943
2014-08-29,4718.0,0.03721465869472621,1.0878
2014-09-05,11073.0,0.08719240914996654,1.088
2014-09-12,7019.0,0.05710078667133083,1.1093
2014-09-19,-4806.0,-0.03622822424411461,1.0963
2014-09-26,-5342.0,-0.05347829133755794,1.1154
2014-10-03,-11144.0,-0.09459379164579956,1.1244
2014-10-10,-20357.0,-0.1662420174106195,1.1199
2014-10-17,-28379.0,-0.2197248310196118,1.1277
2014-10-24,-36080.0,-0.2854475545499138,1.1231
2014-10-31,-33150.0,-0.2724538102439345,1.1266
2014-11-07,-33803.0,-0.2537362728098423,1.1329
2014-11-14,-36370.0,-0.2823319360347772,1.1287
2014-11-21,-35549.0,-0.2808110968924278,1.1233
2014-11-28,-30170.0,-0.2456220335257386,1.1416
2014-12-05,-33465.0,-0.269048021031813,1.1435
2014-12-12,-32172.0,-0.2629720451201569,1.1581
2014-12-19,-35178.0,-0.24132040912926261,1.16
2014-12-26,-30006.0,-0.2601187638160461,1.1627
2015-01-02,-30803.0,-0.27200077706938874,1.1785
2015-01-09,-35785.0,-0.28745049842960535,1.1867
2015-01-16,-38146.0,-0.30980767981287766,1.1984
2015-01-23,-45584.0,-0.34413667625453914,1.242
2015-01-30,-40646.0,-0.2965908759230612,1.2732
2015-02-06,-45865.0,-0.316506797322476,1.2527
2015-02-13,-52296.0,-0.3699464491620744,1.2448
2015-02-20,-50921.0,-0.3718218327856882,1.2530999999999999
2015-02-27,-52594.0,-0.36461828568259336,1.2515
2015-03-06,-54171.0,-0.36443939128913766,1.2624
2015-03-13,-61820.0,-0.37745295575826404,1.2783
2015-03-20,-56744.0,-0.31982865516852665,1.2551999999999999
2015-03-27,-50699.0,-0.4039696578540581,1.2609
2015-04-03,-44962.0,-0.3453063920312728,1.2484
2015-04-10,-46274.0,-0.3538038076305528,1.2566
2015-04-17,-45709.0,-0.3374677918300147,1.2246
2015-04-24,-35298.0,-0.24242132879139597,1.2174
2015-05-01,-26709.0,-0.17827273880163663,1.2159
2015-05-08,-13250.0,-0.09227790623171853,1.2071
2015-05-15,-494.0,-0.0035124892456680486,1.2014
2015-05-22,1904.0,0.013918332139358763,1.2279
2015-05-29,1505.0,0.010580039226989293,1.2454
2015-06-05,-11383.0,-0.07914424373896235,1.2444
2015-06-12,-23259.0,-0.1801598735883255,1.2322
2015-06-19,-23884.0,-0.18396222781924193,1.2266
2015-06-26,-24951.0,-0.2700207783212848,1.2321
2015-07-03,-30177.0,-0.2911151842562223,1.2574
2015-07-10,-47343.0,-0.3547461335571274,1.2658
2015-07-17,-60864.0,-0.3979808019250386,1.2972000000000001
2015-07-24,-66654.0,-0.38625893152066204,1.3049
2015-07-31,-81427.0,-0.4441989613336825,1.3091
2015-08-07,-87328.0,-0.44737246544605075,1.3131
2015-08-14,-90438.0,-0.474790004199916,1.3088
2015-08-21,-86968.0,-0.48496609564596715,1.3189
2015-08-28,-79883.0,-0.42121942345515617,1.32
2015-09-04,-76129.0,-0.416745586423977,1.3282
2015-09-11,-68913.0,-0.40617577197149646,1.3264
2015-09-18,-70167.0,-0.352672423325526,1.3226
2015-09-25,-58073.0,-0.38995057881872636,1.3336999999999999
2015-10-02,-62927.0,-0.41452794392769626,1.3152
2015-10-09,-53562.0,-0.3968231624647162,1.2945
2015-10-16,-45277.0,-0.35419698036454667,1.2913999999999999
2015-10-23,-35150.0,-0.2635801913674675,1.3166
2015-10-30,-31752.0,-0.23326305272514894,1.308
2015-11-06,-34006.0,-0.25727817455513863,1.3306
2015-11-13,-37759.0,-0.2597208752054917,1.3323
2015-11-20,-52502.0,-0.3403893906289508,1.3346
2015-11-27,-59377.0,-0.3807096509450899,1.3371
2015-12-04,-60204.0,-0.380996981337451,1.3362
2015-12-11,-64318.0,-0.36642795695249164,1.3756
2015-12-18,-74957.0,-0.36490874482140856,1.3957
2015-12-25,-79353.0,-0.4383998320497663,1.3824
2016-01-01,-83788.0,-0.44323363556533607,1.3855
2016-01-08,-81768.0,-0.43883903653771844,1.4172
2016-01-15,-80900.0,-0.439893859973465,1.4541
2016-01-22,-83448.0,-0.44389359065061623,1.4119
2016-01-29,-85606.0,-0.45145367386867624,1.3976
2016-02-05,-74958.0,-0.410679260582286,1.3917
2016-02-12,-60613.0,-0.34315590429928555,1.385
2016-02-19,-53551.0,-0.30090240942191854,1.3766
2016-02-26,-44904.0,-0.25307295629385407,1.3513
2016-03-04,-41820.0,-0.22670475798101578,1.3317
2016-03-11,-28154.0,-0.14792358454877896,1.3209
2016-03-18,-17652.0,-0.09413144914011465,1.3004
2016-03-25,-11558.0,-0.09500012329138686,1.327
2016-04-01,-5584.0,-0.04491200978026574,1.3011
2016-04-08,4526.0,0.03522590185624781,1.2988
2016-04-15,7621.0,0.06011722108717431,1.2822
2016-04-22,14652.0,0.10654837654074101,1.2671999999999999
2016-04-29,21562.0,0.14777400076758596,1.2556
2016-05-06,28057.0,0.18757061391486887,1.2909
2016-05-13,30640.0,0.2104973893926903,1.294
2016-05-20,30559.0,0.20953497620712827,1.3113000000000001
2016-05-27,25436.0,0.1714085475153982,1.3021
2016-06-03,29912.0,0.19716824425870752,1.2937
2016-06-10,28608.0,0.18764635274208466,1.2783
2016-06-17,42673.0,0.21724388964969532,1.2894
2016-06-24,15986.0,0.11783610859261552,1.3004
2016-07-01,18339.0,0.1382291533191127,1.2912
2016-07-08,21146.0,0.15908817333734576,1.3044
2016-07-15,24367.0,0.1889544576874462,1.2974
2016-07-22,29416.0,0.22199079314768697,1.3127
2016-07-29,24439.0,0.18067363565123534,1.303
2016-08-05,23255.0,0.17562607618644835,1.3172
2016-08-12,15931.0,0.1226546560418832,1.2951
2016-08-19,22618.0,0.15922338298651198,1.2871000000000001
2016-08-26,31572.0,0.2119480937963628,1.3003
2016-09-02,34184.0,0.2378480677975536,1.2993000000000001
2016-09-09,28768.0,0.20034681839391047,1.3049
2016-09-16,19232.0,0.137561066327151,1.3212
2016-09-23,14474.0,0.09347774139590155,1.3172
2016-09-30,-18125.0,-0.14376705374706517,1.3127
2016-10-07,-20046.0,-0.15923298726676252,1.3296000000000001
2016-10-14,-18328.0,-0.1517130629847608,1.3139
2016-10-21,-15063.0,-0.13206786199640524,1.3332
2016-10-28,-20358.0,-0.1525389439611572,1.3397999999999999
2016-11-04,-24021.0,-0.16838762591743603,1.3404
2016-11-11,-28903.0,-0.21060186534538036,1.3542
2016-11-18,-31347.0,-0.21828475133350975,1.3505
2016-11-25,-29125.0,-0.21132176777460945,1.3519
2016-12-02,-27443.0,-0.20351967487874698,1.3292
2016-12-09,-23876.0,-0.18601534805812006,1.3179
2016-12-16,-20137.0,-0.15428877906754013,1.3336000000000001
2016-12-23,-13743.0,-0.11161827411167513,1.3533
2016-12-30,-8115.0,-0.07206799168753664,1.3441
2017-01-06,-14076.0,-0.11972441949476907,1.3237
2017-01-13,-12337.0,-0.11346767592226402,1.3114
2017-01-20,-7324.0,-0.05994630696699843,1.332
2017-01-27,1547.0,0.012694479091446203,1.3153000000000001
2017-02-03,7867.0,0.056223780221979235,1.3023
2017-02-10,19906.0,0.14552339734920205,1.3083
2017-02-17,28542.0,0.19824275047751347,1.3096
2017-02-24,33710.0,0.2255679346916926,1.3091
2017-03-03,39621.0,0.25696885579754325,1.338
2017-03-10,29638.0,0.1832866427957428,1.3471
2017-03-17,13717.0,0.07112155008373647,1.335
2017-03-24,-33112.0,-0.24463078571164715,1.3378
2017-03-31,-37072.0,-0.269076392669207,1.3317999999999999
2017-04-07,-39054.0,-0.25859979737917244,1.3397999999999999
2017-04-14,-39430.0,-0.28588829837370666,1.3325
2017-04-21,-42923.0,-0.286487568830302,1.3498
2017-04-28,-53520.0,-0.2943716276792933,1.3653
2017-05-05,-60872.0,-0.28711582363262456,1.3652
2017-05-12,-98546.0,-0.4272534142640364,1.371
2017-05-19,-108767.0,-0.4548960071600942,1.3511
2017-05-26,-112296.0,-0.49004385677816326,1.3446
2017-06-02,-111104.0,-0.5073589515263602,1.3487
2017-06-09,-107483.0,-0.46965751090214725,1.347
2017-06-16,-98898.0,-0.43764437246103605,1.3213
2017-06-23,-84721.0,-0.3541433277041149,1.3267
