friday,net_traders,net_trader_oi,price
2010-01-01,,,
2010-01-08,,,7644.0
2010-01-15,,,7641.0
2010-01-22,,,7229.0
2010-01-29,,,7095.0
2010-02-05,,,7019.0
2010-02-12,,,7195.0
2010-02-19,,,7456.0
2010-02-26,,,7389.0
2010-03-05,,,7623.0
2010-03-12,,,7713.0
2010-03-19,,,7828.0
2010-03-26,,,7939.0
2010-04-02,,,8001.0
2010-04-09,,,8094.0
2010-04-16,,,8125.0
2010-04-23,,,8283.0
2010-04-30,,,8101.0
2010-05-07,,,7476.0
2010-05-14,,,7750.0
2010-05-21,,,7301.0
2010-05-28,,,7267.0
2010-06-04,,,7087.0
2010-06-11,,,7338.0
2010-06-18,16.0,0.17204301075268819,7573.0
2010-06-25,7.0,0.08333333333333333,7304.0
2010-07-02,16.0,0.1839080459770115,6796.0
2010-07-09,15.0,0.18072289156626506,7332.0
2010-07-16,-1.0,-0.012987012987012988,7259.0
2010-07-23,11.0,0.12643678160919541,7586.0
2010-07-30,10.0,0.12048192771084337,7617.0
2010-08-06,20.0,0.2247191011235955,7813.0
2010-08-13,18.0,0.21176470588235294,7466.0
2010-08-20,27.0,0.2727272727272727,7402.0
2010-08-27,19.0,0.1919191919191919,7341.0
2010-09-03,21.0,0.21212121212121213,7636.0
2010-09-10,6.0,0.061224489795918366,7659.0
2010-09-17,13.0,0.12380952380952381,7805.0
2010-09-24,4.0,0.04597701149425287,8051.0
2010-10-01,8.0,0.09090909090909091,8035.0
2010-10-08,13.0,0.14285714285714285,8214.0
2010-10-15,12.0,0.1276595744680851,8291.0
2010-10-22,11.0,0.11578947368421053,8357.0
2010-10-29,16.0,0.17204301075268819,8333.0
2010-11-05,13.0,0.13541666666666666,8643.0
2010-11-12,16.0,0.16842105263157894,8419.0
2010-11-19,6.0,0.061855670103092786,8446.0
2010-11-26,6.0,0.061224489795918366,8297.0
2010-12-03,9.0,0.09375,8631.0
2010-12-10,19.0,0.19387755102040816,8675.0
2010-12-17,21.0,0.21212121212121213,8760.0
2010-12-24,12.0,0.14285714285714285,8852.0
2010-12-31,13.0,0.16666666666666666,8843.0
2011-01-07,16.0,0.17777777777777778,8949.0
2011-01-14,13.0,0.13978494623655913,9055.0
2011-01-21,16.0,0.15841584158415842,9152.0
2011-01-28,12.0,0.12,9105.0
2011-02-04,22.0,0.2037037037037037,9375.0
2011-02-11,11.0,0.10891089108910891,9571.0
2011-02-18,16.0,0.16161616161616163,9705.0
2011-02-25,11.0,0.10784313725490197,9440.0
2011-03-04,15.0,0.14705882352941177,9484.0
2011-03-11,18.0,0.17142857142857143,9395.0
2011-03-18,10.0,0.09900990099009901,9192.0
2011-03-25,8.0,0.0963855421686747,9563.0
2011-04-01,11.0,0.12941176470588237,9711.0
2011-04-08,17.0,0.18478260869565216,9719.0
2011-04-15,23.0,0.24210526315789474,9696.0
2011-04-22,21.0,0.21,9827.0
2011-04-29,21.0,0.20388349514563106,10149.0
2011-05-06,22.0,0.19642857142857142,9962.0
2011-05-13,23.0,0.21495327102803738,9949.0
2011-05-20,18.0,0.1836734693877551,9859.0
2011-05-27,15.0,0.14705882352941177,9821.0
2011-06-03,14.0,0.14285714285714285,9518.0
2011-06-10,11.0,0.10679611650485436,9334.0
2011-06-17,22.0,0.22916666666666666,9401.0
2011-06-24,3.0,0.03571428571428571,9344.0
2011-07-01,8.0,0.0898876404494382,9977.0
2011-07-08,6.0,0.06593406593406594,10078.0
2011-07-15,5.0,0.052083333333333336,9915.0
2011-07-22,20.0,0.20408163265306123,10084.0
2011-07-29,20.0,0.21978021978021978,9551.0
2011-08-05,16.0,0.16666666666666666,8865.0
2011-08-12,20.0,0.2222222222222222,8713.0
2011-08-19,4.0,0.05,8283.0
2011-08-26,14.0,0.1794871794871795,8742.0
2011-09-02,0.0,0.0,8671.0
2011-09-09,5.0,0.056818181818181816,8484.0
2011-09-16,0.0,0.0,8983.0
2011-09-23,-6.0,-0.08571428571428572,8234.0
2011-09-30,-10.0,-0.12195121951219512,8378.0
2011-10-07,8.0,0.0963855421686747,8603.0
2011-10-14,3.0,0.039473684210526314,9103.0
2011-10-21,8.0,0.0963855421686747,9294.0
2011-10-28,-4.0,-0.0449438202247191,9705.0
2011-11-04,5.0,0.05319148936170213,9478.0
2011-11-11,6.0,0.06818181818181818,9649.0
2011-11-18,15.0,0.16129032258064516,9304.0
2011-11-25,3.0,0.031578947368421054,8724.0
2011-12-02,3.0,0.03571428571428571,9537.0
2011-12-09,8.0,0.08695652173913043,9747.0
2011-12-16,3.0,0.030612244897959183,9386.0
2011-12-23,17.0,0.19318181818181818,9825.0
2011-12-30,8.0,0.09090909090909091,9758.0
2012-01-06,8.0,0.09090909090909091,9917.0
2012-01-13,11.0,0.12359550561797752,9998.0
2012-01-20,7.0,0.07777777777777778,10262.0
2012-01-27,6.0,0.0625,10222.0
2012-02-03,13.0,0.14444444444444443,10401.0
2012-02-10,11.0,0.11224489795918367,10375.0
2012-02-17,9.0,0.09375,10537.0
2012-02-24,13.0,0.1326530612244898,10569.0
2012-03-02,13.0,0.13,10576.0
2012-03-09,3.0,0.030303030303030304,10539.0
2012-03-16,26.0,0.24299065420560748,10836.0
2012-03-23,15.0,0.15151515151515152,10705.0
2012-03-30,17.0,0.16831683168316833,10815.0
2012-04-06,24.0,0.2376237623762376,10651.0
2012-04-13,14.0,0.15217391304347827,10461.0
2012-04-20,18.0,0.16981132075471697,10661.0
2012-04-27,15.0,0.15151515151515152,10837.0
2012-05-04,20.0,0.18181818181818182,10630.0
2012-05-11,9.0,0.09183673469387756,10461.0
2012-05-18,14.0,0.13725490196078433,10008.0
2012-05-25,8.0,0.08,10102.0
2012-06-01,11.0,0.12087912087912088,9776.0
2012-06-08,9.0,0.0967741935483871,10248.0
2012-06-15,7.0,0.07608695652173914,10455.0
2012-06-22,8.0,0.1,10313.0
2012-06-29,11.0,0.14102564102564102,10553.0
2012-07-06,17.0,0.18888888888888888,10472.0
2012-07-13,16.0,0.1839080459770115,10457.0
2012-07-20,14.0,0.17073170731707318,10518.0
2012-07-27,8.0,0.0975609756097561,10778.0
2012-08-03,19.0,0.21348314606741572,10800.0
2012-08-10,18.0,0.1935483870967742,10917.0
2012-08-17,18.0,0.1935483870967742,10992.0
2012-08-24,16.0,0.15841584158415842,10901.0
2012-08-31,25.0,0.2604166666666667,10824.0
2012-09-07,18.0,0.1978021978021978,11041.0
2012-09-14,20.0,0.20202020202020202,11337.0
2012-09-21,20.0,0.19047619047619047,11318.0
2012-09-28,21.0,0.21,11173.0
2012-10-05,28.0,0.25925925925925924,11354.0
2012-10-12,18.0,0.17475728155339806,11063.0
2012-10-19,23.0,0.21904761904761905,11070.0
2012-10-26,19.0,0.1919191919191919,10872.0
2012-11-02,19.0,0.19387755102040816,10809.0
2012-11-09,12.0,0.13043478260869565,10582.0
2012-11-16,12.0,0.1188118811881188,10388.0
2012-11-23,-2.0,-0.021505376344086023,10779.0
2012-11-30,4.0,0.041666666666666664,10826.0
2012-12-07,16.0,0.17582417582417584,10961.0
2012-12-14,15.0,0.15151515151515152,10968.0
2012-12-21,13.0,0.13829787234042554,11003.0
