friday,net_position,net_position_oi,price
2010-01-01,-34207.0,-0.36740239514526607,1.6151
2010-01-08,-45222.0,-0.4454316220795083,1.6023
2010-01-15,-44783.0,-0.4740396523800955,1.6263999999999998
2010-01-22,-24645.0,-0.27536620520899674,1.6113
2010-01-29,-33118.0,-0.354529299676708,1.5986
2010-02-05,-43969.0,-0.41657429250869266,1.5641
2010-02-12,-65915.0,-0.5148845093306462,1.5701
2010-02-19,-72963.0,-0.5561585779512314,1.5473
2010-02-26,-82190.0,-0.5788761955740869,1.5238
2010-03-05,-79630.0,-0.5134835373167052,1.5137
2010-03-12,-79989.0,-0.49175883289581274,1.5204
2010-03-19,-80723.0,-0.5926233178918312,1.5013
2010-03-26,-88689.0,-0.598501872659176,1.4898
2010-04-02,-82139.0,-0.5468241340514343,1.5209000000000001
2010-04-09,-77017.0,-0.5278969662905946,1.537
2010-04-16,-68489.0,-0.50634324496163,1.5363
2010-04-23,-61058.0,-0.45138539787680754,1.5377
2010-04-30,-67020.0,-0.4881886322414283,1.5274
2010-05-07,-81592.0,-0.5369590396967463,1.4804
2010-05-14,-90646.0,-0.5603456802334207,1.4536
2010-05-21,-78525.0,-0.43185230403722097,1.446
2010-05-28,-94733.0,-0.518496828255075,1.4458
2010-06-04,-93713.0,-0.5286157490974729,1.4454
2010-06-11,-96787.0,-0.5284662047426384,1.4552
2010-06-18,-67275.0,-0.4974894438323141,1.4824
2010-06-25,-62891.0,-0.4400495388964301,1.5063
2010-07-02,-53679.0,-0.37548002602108266,1.5194999999999999
2010-07-09,-52511.0,-0.3572517110473106,1.5064
2010-07-16,-47896.0,-0.32925001718567404,1.5301
2010-07-23,-35710.0,-0.2514859573509113,1.5425
2010-07-30,-33676.0,-0.23492152075340078,1.5689
2010-08-06,-15562.0,-0.09312206038991347,1.5941999999999998
2010-08-13,973.0,0.005925447758012752,1.5592000000000001
2010-08-20,-1537.0,-0.009657131009003688,1.5534
2010-08-27,-2277.0,-0.014439815079047999,1.5529
2010-09-03,-17135.0,-0.10484739457130969,1.5452
2010-09-10,-22755.0,-0.146950557966522,1.5358
2010-09-17,-8073.0,-0.09619073718827076,1.5632000000000001
2010-09-24,-6413.0,-0.0796596484690392,1.5826
2010-10-01,1922.0,0.021709664302173224,1.5824
2010-10-08,14987.0,0.15187474665585732,1.596
2010-10-15,13941.0,0.1385275793197333,1.5992
2010-10-22,9640.0,0.09685327331913354,1.5682
2010-10-29,9550.0,0.09942427618085849,1.6038000000000001
2010-11-05,17716.0,0.17322434292866082,1.6181999999999999
2010-11-12,31303.0,0.29666309694172505,1.6114000000000002
2010-11-19,28557.0,0.2621230896323833,1.5979
2010-11-26,14883.0,0.14256020230272612,1.5592000000000001
2010-12-03,-2948.0,-0.029861329173546183,1.5777999999999999
2010-12-10,-15346.0,-0.16573249095523515,1.5802
2010-12-17,-9336.0,-0.12625258631181793,1.5533000000000001
2010-12-24,-8845.0,-0.1118204804045512,1.5444
2010-12-31,-17427.0,-0.1867165234534039,1.5612
2011-01-07,-20355.0,-0.2178449881204649,1.5548
2011-01-14,-12718.0,-0.1350995347256156,1.587
2011-01-21,7045.0,0.06894020941383697,1.6
2011-01-28,13842.0,0.12727222574683475,1.5859999999999999
2011-02-04,27005.0,0.2170593105222123,1.6111
2011-02-11,33603.0,0.27875896967937286,1.6007
2011-02-18,64574.0,0.45159801384712217,1.6253
2011-02-25,45888.0,0.33963437199319074,1.6118000000000001
2011-03-04,37535.0,0.27039779849294737,1.6269
2011-03-11,48949.0,0.32074779338046905,1.6082
2011-03-18,9713.0,0.09156815053641797,1.6234
2011-03-25,44541.0,0.35103716780681565,1.6042
2011-04-01,12151.0,0.10613617504476569,1.6111
2011-04-08,43302.0,0.3547890208930766,1.6383
2011-04-15,48631.0,0.37930442785720414,1.6328
2011-04-22,45381.0,0.38832982492170254,1.6509
2011-04-29,54302.0,0.42242586426860007,1.6707
2011-05-06,51192.0,0.3791719131916154,1.6367
2011-05-13,35366.0,0.30669036985648007,1.6197
2011-05-20,7994.0,0.07178068907306473,1.6229
2011-05-27,-12239.0,-0.10328967356446005,1.651
2011-06-03,2707.0,0.02316328102270977,1.6425999999999998
2011-06-10,6825.0,0.057358725249605,1.6227
2011-06-17,18461.0,0.19166320598006645,1.6194
2011-06-24,-10303.0,-0.10438914668990253,1.5958999999999999
2011-07-01,-20400.0,-0.185065907049741,1.6074000000000002
2011-07-08,-32972.0,-0.2618529519210915,1.6059
2011-07-15,-35837.0,-0.2839248930438916,1.6136
2011-07-22,-12543.0,-0.12129036001276436,1.63
2011-07-29,3749.0,0.03616247552353117,1.6425999999999998
2011-08-05,9492.0,0.08645674885462114,1.6391
2011-08-12,6372.0,0.05739713194494487,1.6278000000000001
2011-08-19,5294.0,0.04978324446826718,1.6465
