friday,net_position,net_position_oi,price
2010-01-01,-0.0,,
2010-01-08,5.244129855000001,0.058118075983665654,77.471
2010-01-15,-6.93447605125,-0.07475407856771167,77.323
2010-01-22,-8.395981404999999,-0.08967822611793615,78.277
2010-01-29,-0.3008145599999982,-0.003226047435617387,79.462
2010-02-05,3.717603302499999,0.039781986747860064,80.441
2010-02-12,9.250417723749997,0.09478153468934741,80.218
2010-02-19,8.446173343749997,0.0854775365827073,80.643
2010-02-26,11.865334077500004,0.10997938456293119,80.362
2010-03-05,3.2753272324999974,0.02872896563928121,80.432
2010-03-12,2.8531560399999987,0.024132363152201314,79.833
2010-03-19,-1.8990392074999976,-0.01956700655589784,80.724
2010-03-26,2.3668887700000005,0.023064919399790516,81.676
2010-04-02,12.791099126249994,0.11362495483958124,81.173
2010-04-09,9.52820267875,0.08262001166665696,81.093
2010-04-16,8.75560615,0.07920494609320118,80.824
2010-04-23,8.820856015000004,0.07854632651096527,81.352
2010-04-30,15.589753882499998,0.1276603066870215,81.866
2010-05-07,23.0193229775,0.1780022485876359,84.45
2010-05-14,21.9456720375,0.17305713367409936,86.095
2010-05-21,21.588359927499994,0.15775389678586677,85.371
2010-05-28,22.0792529625,0.16607874800581776,86.48
2010-06-04,19.852130093750002,0.15504508718608553,88.233
2010-06-11,23.544745217499997,0.18781354911811662,87.507
2010-06-18,16.120077625,0.16541094140421114,85.699
2010-06-25,14.031554890000002,0.14625997527527398,85.313
2010-07-02,9.2167856525,0.08953428076003658,84.427
2010-07-09,2.4320979562499994,0.022287879406422993,83.947
2010-07-16,-6.0594041,-0.058513376621500364,82.486
2010-07-23,-7.7527439925,-0.07262410616218136,82.464
2010-07-30,-6.691191405,-0.0606429018143997,81.539
2010-08-06,-16.5182213275,-0.13513291574084443,80.407
2010-08-13,-21.39621512625,-0.1864632617977851,82.948
2010-08-20,-18.9887199,-0.1625728291882796,83.057
2010-08-27,-15.208225165000002,-0.12892459513108573,82.918
2010-09-03,-10.3639918675,-0.08587179166378847,82.102
2010-09-10,-12.974452840000001,-0.10704393438820402,82.698
2010-09-17,-18.561339146250003,-0.19107794618006843,81.398
2010-09-24,-20.517800798750002,-0.21035843302514579,79.395
2010-10-01,-28.317703582500002,-0.25653368650931235,78.088
2010-10-08,-35.7229561275,-0.28658495967674125,77.325
2010-10-15,-36.36969983625,-0.3065942200317202,77.041
2010-10-22,-35.00912053,-0.292741501739036,77.472
2010-10-29,-31.033227895,-0.26590191079148684,77.266
2010-11-05,-31.990483367499998,-0.2667683292941449,76.548
2010-11-12,-31.64496495,-0.27518457164411525,78.082
2010-11-19,-24.351450296249997,-0.21839999037177085,78.504
2010-11-26,-17.74778174625,-0.1686149398168595,80.357
2010-12-03,-15.791652834999999,-0.13975226874699584,79.377
2010-12-10,-12.581749372500001,-0.12313406003030729,80.07
2010-12-17,-13.5735038,-0.1546181309550531,80.373
2010-12-24,-13.79103907,-0.15768564373224012,80.474
2010-12-31,-16.402416746250005,-0.16737519470060122,79.028
2011-01-07,-18.63875270875,-0.18786841840531582,81.012
2011-01-14,-11.631801385000001,-0.11446597508573106,79.162
2011-01-21,-21.32902686125,-0.20945136483564886,78.213
2011-01-28,-24.8913658525,-0.23522107655668056,78.133
2011-02-04,-31.630249821249997,-0.2765489811827241,78.044
2011-02-11,-36.52244107375,-0.33038010971384074,78.46
2011-02-18,-31.278672277499993,-0.28101841023142465,77.664
2011-02-25,-29.725930204999997,-0.25609685802856935,77.275
2011-03-04,-44.54472827125,-0.3542602238021663,76.4
2011-03-11,-46.57112409375,-0.34745874863400356,76.776
2011-03-18,-36.65010282625,-0.3254615743477569,75.718
2011-03-25,-39.390374291250005,-0.3634036597062143,76.217
2011-04-01,-39.017656377499996,-0.3418285495637895,75.833
2011-04-08,-34.1139749475,-0.26554406991497914,75.066
2011-04-15,-34.749906705,-0.271140120407015,74.832
2011-04-22,-34.9996153675,-0.2678694810890498,74.108
2011-04-29,-39.40993513,-0.2897399407579649,72.933
2011-05-06,-45.2535272725,-0.32729663975772594,74.841
2011-05-13,-38.2507527625,-0.3185353256242487,75.757
2011-05-20,-29.443062882499998,-0.24274137868356904,75.435
2011-05-27,-21.250605873749997,-0.17186460119533967,74.954
2011-06-03,-24.42085576625,-0.1906903999886279,73.783
2011-06-10,-30.962988154999998,-0.23388741185205691,74.795
2011-06-17,-35.879995135,-0.3438508506354619,74.988
2011-06-24,-26.1961409525,-0.2664038364230119,75.665
2011-07-01,-19.412782435000004,-0.19471372407191298,74.349
2011-07-08,-24.758109740000002,-0.23172956747278964,75.179
2011-07-15,-22.359909447499998,-0.20685188522669165,75.126
2011-07-22,-28.960057669999998,-0.2576527520027433,74.201
2011-07-29,-36.06973063375,-0.3039696929224172,73.897
2011-08-05,-33.7313846425,-0.27227312695801076,74.598
2011-08-12,-19.252800457499998,-0.17490334698731488,74.607
2011-08-19,-19.7717993225,-0.18514258293053706,74.009
2011-08-26,-22.679934725,-0.20454912416836948,73.814
2011-09-02,-21.50280680125,-0.1939833490136735,74.756
2011-09-09,-7.3283949250000004,-0.061755996862646316,77.192
2011-09-16,3.7323371350000025,0.028374445318270086,76.599
2011-09-23,11.127199482499993,0.10447385501307248,78.501
2011-09-30,19.9432099575,0.18255118133836382,78.553
2011-10-07,21.030358475000003,0.17133848730308016,78.726
2011-10-14,22.5134618875,0.1811551902310764,76.623
2011-10-21,22.974808583750004,0.1810185382433147,76.395
2011-10-28,14.198902700000001,0.10674497563416072,75.067
2011-11-04,12.4756977675,0.09723897070624846,76.962
2011-11-11,9.128825839999998,0.07510619149763245,76.945
2011-11-18,15.361670767500001,0.12356554320131506,78.064
2011-11-25,18.093658719999997,0.14263400700254483,79.686
2011-12-02,26.40476518375,0.18669807180216744,78.625
2011-12-09,22.0695720475,0.14768000508079657,78.632
2011-12-16,24.896754525000002,0.15701972691150082,80.256
2011-12-23,23.370607469999996,0.18608248745325143,79.93
2011-12-30,28.952656524999995,0.23555097449039628,80.178
2012-01-06,22.5976387075,0.17377056413278077,81.254
2012-01-13,23.717945588749995,0.17835865797297107,81.515
2012-01-20,25.1971142625,0.1783477485298063,80.223
2012-01-27,25.9054569125,0.1832652690574243,78.902
2012-02-03,18.407386472499997,0.12525394071640852,78.924
2012-02-10,12.169798976249995,0.08560448036174446,79.114
2012-02-17,20.13893462500001,0.14300363476882078,79.331
2012-02-24,21.701849297500004,0.152495627897695,78.352
2012-03-02,16.332187244999993,0.115589647588427,79.403
2012-03-09,24.351086973749993,0.16681120173849848,80.041
2012-03-16,27.499854137499998,0.17070975215088582,79.786
2012-03-23,20.43679392,0.152857342480423,79.345
2012-03-30,26.5653169775,0.2153737766556501,79.004
2012-04-06,24.736476017500006,0.1957317679949494,79.886
2012-04-13,33.68775073250001,0.26211316522664896,79.888
2012-04-20,31.083534610000008,0.23109427092274284,79.194
2012-04-27,26.015263717499998,0.19299913310310485,78.709
2012-05-04,17.958403813750003,0.1308738073962054,79.498
2012-05-11,28.788805949999993,0.20157170806083188,80.264
2012-05-18,39.58593735624999,0.2619161470953584,81.292
2012-05-25,47.23300972500001,0.3083746018530168,82.402
2012-06-01,50.915797105,0.3210060828810007,82.89
2012-06-08,53.82770781125,0.31499589603963507,82.511
2012-06-15,53.8779087225,0.31321448697291043,81.628
2012-06-22,33.5796610875,0.2651345680348379,82.256
2012-06-29,40.39519189625,0.32462734253964576,81.627
2012-07-06,34.56264297,0.2922769853945687,83.377
2012-07-13,37.14818122000001,0.3041542460743922,83.349
2012-07-20,37.882056930000005,0.30560846558705507,83.478
2012-07-27,32.02320204,0.24015877475961106,82.709
2012-08-03,22.232876831249996,0.16860295119053043,82.375
2012-08-10,17.713962601250003,0.13335830271501042,82.553
2012-08-17,14.7350913525,0.1077170758399833,82.596
2012-08-24,9.19152573875,0.06448583205706014,81.593
2012-08-31,2.1751558774999986,0.015009804029590365,81.208
2012-09-07,3.2992408337500008,0.021941093078334487,80.252
2012-09-14,-7.251583462499998,-0.04209586141377951,78.847
2012-09-21,-13.1489910775,-0.09091789252437886,79.328
2012-09-28,-23.2353168525,-0.16989720026844346,79.935
2012-10-05,-21.5478187175,-0.15849934364892965,79.337
2012-10-12,-8.668096465,-0.06737783812462673,79.667
2012-10-19,-9.778520362499998,-0.07593263287019043,79.621
2012-10-26,-1.0469943699999973,-0.008121105623574423,80.068
2012-11-02,1.9374458812500044,0.01474991181583853,80.593
2012-11-09,6.286481923750002,0.04602459142782148,81.026
2012-11-16,9.547370855,0.07224318055590524,81.257
2012-11-23,17.212815069999998,0.1237551866060352,80.192
2012-11-30,11.472134042500002,0.07976246187211289,80.153
2012-12-07,2.2936606149999967,0.014941388570167287,80.408
2012-12-14,-3.1387755350000015,-0.019438835315786916,79.58
2012-12-21,-9.488696263750002,-0.06454664877195639,79.617
2012-12-28,-10.694617755,-0.07754811094153002,79.678
2013-01-04,-13.736716545,-0.09958914720060576,80.499
2013-01-11,-10.832787662500001,-0.08198449844638428,79.563
2013-01-18,-18.298275877499997,-0.13001180815057298,80.036
2013-01-25,-16.313125186249998,-0.11420564153527774,79.748
2013-02-01,-6.9428490837500005,-0.045771526208425076,79.125
2013-02-08,-8.21868551,-0.05188878653894633,80.246
2013-02-15,-2.7858747849999985,-0.01923354433347876,80.58
2013-02-22,3.358277653749999,0.022758929390671635,81.482
2013-03-01,18.76093552,0.11920278608841925,82.313
2013-03-08,31.567249642500002,0.19221065858260944,82.696
2013-03-15,36.00963811125,0.20887350633566967,82.261
2013-03-22,35.7670808375,0.22877177090962578,82.376
2013-03-29,34.3269842375,0.22934677135244771,82.976
2013-04-05,36.8263022125,0.2383159107789254,82.496
2013-04-12,33.839542195,0.23159241224611704,82.311
2013-04-19,33.0191541575,0.2275269967737881,82.714
2013-04-26,34.5866300275,0.2354508362630637,82.502
2013-05-03,30.901581384999993,0.21519041759392907,82.125
2013-05-10,33.78688474999999,0.24744210635999084,83.143
2013-05-17,42.54538663625,0.28503030116019984,84.252
2013-05-24,56.58742221,0.3508545278970035,83.7
2013-05-31,59.101703735,0.3561204570488963,83.375
2013-06-07,55.4170184225,0.3443314483754767,81.669
2013-06-14,42.138393551250005,0.2575879149750235,80.67
2013-06-21,24.576370592500002,0.19624006803641178,82.318
2013-06-28,20.6311289575,0.1707887703135395,83.136
2013-07-05,32.90729083875,0.2652066082906751,84.449
2013-07-12,43.37512247750001,0.3336655229243319,82.988
2013-07-19,45.872777543750004,0.35073289738436725,82.607
2013-07-26,42.26199137500001,0.3226328795085782,81.657
2013-08-02,36.54607904,0.27864597052607853,81.908
2013-08-09,34.364707627499996,0.25618762576810794,81.126
2013-08-16,28.052586792499998,0.22386722729098954,81.257
2013-08-23,20.511664042499998,0.1558933873136992,81.361
2013-08-30,22.662913841249996,0.16484418095650086,82.087
2013-09-06,29.480189954999997,0.20995192351282496,82.146
2013-09-13,31.31377935125,0.22535653062328873,81.452
2013-09-20,17.6632741025,0.14405507368721152,80.431
2013-09-27,5.9221952075,0.04458504836804435,80.287
2013-10-04,2.2481019425000026,0.016425793028929696,80.122
2013-10-11,-2.2207049800000056,-0.01645973240752003,80.362
2013-10-18,0.6110044962499992,0.004528183311312768,79.654
2013-10-25,-1.0572549624999996,-0.0073787502862598135,79.194
2013-11-01,-1.7900227849999995,-0.012484895464419644,80.716
2013-11-08,7.761827305000001,0.05530715927316492,81.303
2013-11-15,21.495891160000003,0.15638407882771177,80.849
2013-11-22,24.974921162499996,0.1764915750318499,80.708
2013-11-29,29.858547425,0.1990995974143153,80.68
2013-12-06,29.320174727499996,0.18121010913566085,80.315
2013-12-13,27.757453589999997,0.16805205929937908,80.214
2013-12-20,25.526591672500004,0.17880460555060548,80.575
2013-12-27,25.767974293750008,0.178479109427205,80.392
2014-01-03,24.76604758625,0.1685488570141314,80.791
2014-01-10,29.769841327500004,0.2142208639504852,80.658
2014-01-17,30.146043924999997,0.21565681561462666,81.225
2014-01-24,37.44787018,0.25352424025048426,80.458
2014-01-31,26.245040385,0.1779142672842471,81.311
2014-02-07,30.99595594125,0.20577429889298915,80.691
2014-02-14,28.14234252375,0.193689723423471,80.136
2014-02-21,23.971588960000002,0.15590299316704595,80.237
2014-02-28,20.010382428750003,0.12758023439918106,79.691
2014-03-07,16.3199831725,0.10158554339791526,79.719
2014-03-14,15.92983439625,0.09862972795651678,79.446
2014-03-21,5.208305575000001,0.03874519462420672,80.105
2014-03-28,6.097458338750003,0.047236753075981894,80.176
2014-04-04,8.394908215000003,0.06260913894048957,80.423
2014-04-11,8.005499879999999,0.06010014909043194,79.452
2014-04-18,1.3078640025000006,0.00976494489447008,79.847
2014-04-25,0.9280796574999997,0.006876909685663741,79.749
2014-05-02,2.551022515000001,0.01848291163480726,79.516
2014-05-09,-0.510912255,-0.0035910369408246874,79.903
2014-05-16,6.500393310000001,0.047911164062101996,80.043
2014-05-23,7.6202688599999995,0.05549553945457117,80.393
2014-05-30,11.401788122500003,0.08058447032472968,80.369
2014-06-06,18.097987497500004,0.12477499094646957,80.409
2014-06-13,22.407528827500002,0.14262847285249994,80.576
2014-06-20,17.337769693749998,0.1255414887264069,80.372
2014-06-27,18.332707649999996,0.13349487031291352,80.039
2014-07-04,14.448113320000001,0.10068824209957757,80.269
2014-07-11,15.69704649,0.11218425701601581,80.187
2014-07-18,15.666858442499995,0.1088379126709025,80.524
2014-07-25,20.097136802499996,0.13313933778985235,81.029
2014-08-01,28.766576285,0.18381490180741003,81.302
2014-08-08,42.94515268749999,0.2617173448961454,81.389
2014-08-15,41.3213709025,0.26271894745806784,81.424
2014-08-22,44.45096149,0.26791305626897527,82.336
2014-08-29,46.62138134999999,0.26841946612213236,82.748
2014-09-05,49.96430632124999,0.2738545570583486,83.739
2014-09-12,48.746722667499995,0.24650403606130125,84.24
2014-09-19,51.157372529999996,0.319550409181947,84.735
2014-09-26,53.487481859999995,0.33259730592550174,85.64
2014-10-03,53.7789654975,0.31209679620770586,86.694
2014-10-10,60.16155582500001,0.36210591431009154,85.912
2014-10-17,63.05578534749999,0.3730504158943543,85.11
2014-10-24,60.301252662500005,0.3650674884525057,85.732
2014-10-31,58.66739906749999,0.3603170641269484,86.917
2014-11-07,63.793554575,0.35849336311348273,87.642
2014-11-14,65.00412354000001,0.37416856531282516,87.525
2014-11-21,65.82805637250001,0.3748748655547497,88.31
2014-11-28,67.939561235,0.376489851727424,88.356
2014-12-05,66.15351688999999,0.3637119856070095,89.334
2014-12-12,62.757090684999994,0.3488092700759607,88.363
2014-12-19,53.455265157499994,0.36449302595176925,89.598
2014-12-26,58.75260097749999,0.39608024646764817,90.03
2015-01-02,59.687222782499994,0.40148919697431207,91.08
2015-01-09,63.881883685000005,0.3975660304206637,91.935
2015-01-16,68.98305809,0.43515589122641246,92.52
2015-01-23,63.42475451999999,0.39729253036049195,94.762
2015-01-30,62.46172638375,0.3816181442174185,94.804
2015-02-06,63.652106194999995,0.3830296566592715,94.698
2015-02-13,63.4718602725,0.40609740552272683,94.201
2015-02-20,60.7095789725,0.39164527792378184,94.253
2015-02-27,58.4525801425,0.3800620587297628,95.293
2015-03-06,58.3554912925,0.3751760396219428,97.615
2015-03-13,63.65444626125,0.3829849214551192,100.33
2015-03-20,60.832245480000005,0.38466530055009834,97.909
2015-03-27,62.03055948749999,0.4071765491464481,97.291
2015-04-03,58.120009405,0.3753660052623337,96.545
2015-04-10,55.15393737625,0.38098940148899446,99.338
2015-04-17,56.413233795000004,0.36907435187951687,97.52
2015-04-24,53.18636315875,0.3480545922311483,96.922
2015-05-01,48.17712257124998,0.30983207689048026,95.297
2015-05-08,43.770418285000005,0.27491063343195454,94.794
2015-05-15,41.164914173750006,0.2662929471638624,93.135
2015-05-22,37.33278511625001,0.24091873980234582,96.014
2015-05-29,43.54396573375,0.2731596791248714,96.907
2015-06-05,49.975523066250005,0.30739455783727393,96.306
2015-06-12,51.16320903249999,0.31926972521011204,94.972
2015-06-19,38.12232753249999,0.27963155416824514,94.085
2015-06-26,38.736629522499996,0.2889178088405333,95.472
2015-07-03,37.693547343750005,0.2771544298188929,96.113
2015-07-10,41.37246897624999,0.3041297181291157,96.025
2015-07-17,41.39553047,0.3079850116608005,97.862
2015-07-24,45.937137117499994,0.32594620120936135,97.244
2015-07-31,45.03183635875,0.31737583595800284,97.336
2015-08-07,49.13048749250001,0.3346120841145154,97.563
2015-08-14,53.36093114125,0.37012049126173574,96.52
2015-08-21,46.66621420375,0.3225498133642294,95.008
