,daily,3m flow $b,price
2010-01-01,0.0,,989.47
2010-01-04,0.0,,1004.51
2010-01-05,64.201670074928,,1015.26
2010-01-06,131.56779453541827,,1021.75
2010-01-07,52.96531834383708,,1014.42
2010-01-08,27.044367871211378,,1016.41
2010-01-11,90.07219381454084,,1028.07
2010-01-12,102.4710964084575,,1021.18
2010-01-13,108.87491371324087,,1012.09
2010-01-14,13.587376271455486,,1013.29
2010-01-15,105.72095855967864,,1010.77
2010-01-18,11.394217541803958,,1012.55
2010-01-19,63.76868986870365,,1013.41
2010-01-20,68.6608079699688,,997.49
2010-01-21,202.11093087209147,,981.17
2010-01-22,88.30792426182866,,963.85
2010-01-25,91.12201934291784,,959.06
2010-01-26,66.41746817240083,,938.06
2010-01-27,91.03373704058069,,928.71
2010-01-28,6.9917930371959685,,940.07
2010-01-29,85.27821962874766,,933.59
2010-02-01,84.349272645131,,934.22
2010-02-02,70.94812150775358,,940.43
2010-02-03,90.79635236022051,,952.26
2010-02-04,80.39391043153303,,926.41
2010-02-05,59.88170854516507,,897.7
2010-02-08,-30.229550419811908,,894.07
2010-02-09,56.21033051829035,,908.67
2010-02-10,97.69074386691649,,912.49
2010-02-11,41.96517826268222,,922.91
2010-02-12,102.61598235486962,,921.75
2010-02-15,1.60650129051936,,924.73
2010-02-16,70.26938950287206,,932.55
2010-02-17,87.38701493473708,,945.09
2010-02-18,-42.187832945273605,,943.11
2010-02-19,64.68434354432593,,933.35
2010-02-22,103.18195966575765,,943.3
2010-02-23,103.21083590157478,,940.21
2010-02-24,79.29693206249118,,933.23
2010-02-25,45.58221117562868,,922.93
2010-02-26,-929.7088642100432,,935.93
2010-03-01,106.60265609838653,,947.9
2010-03-02,100.72783935050666,,959.66
2010-03-03,24.213096586160184,,966.43
2010-03-04,99.84590853018778,,961.34
2010-03-05,27.003529644680334,,974.92
2010-03-08,58.68112780721419,,986.08
2010-03-09,23.990103297492606,,986.15
2010-03-10,45.10887223418047,,993.44
2010-03-11,90.62097085559837,,989.83
2010-03-12,74.2144773353245,,992.68
2010-03-15,27.760497747591693,,983.04
2010-03-16,87.14769622616804,,991.48
2010-03-17,-90.62513240418778,,1005.77
2010-03-18,-3.334561622792158,,1001.51
2010-03-19,32.20588415800575,,997.94
2010-03-22,24.565003239351505,,989.93
2010-03-23,33.199059384579655,,994.12
2010-03-24,-58.774913132567214,,992.0
2010-03-25,26.525486942743076,,989.95
2010-03-26,-34.43194018469439,,993.08
2010-03-29,45.7147878332254,,1003.67
2010-03-30,10.815871043865998,,1009.33
2010-03-31,1390.8022072712338,,1010.33
2010-04-01,177.71104082368822,4.029825607390291,1027.27
2010-04-02,0.0,4.029825607390291,1028.54
2010-04-05,48.43737195815272,4.078262979348444,1036.62
2010-04-06,31.16526521727988,4.045226574490795,1039.27
2010-04-07,42.680441686168734,3.9563392216415454,1042.99
2010-04-08,15.127023551611146,3.91850092684932,1036.31
2010-04-09,-21.613300779425572,3.869843258198683,1044.0
2010-04-12,63.548190159737196,3.843319254543879,1041.38
2010-04-13,-229.65581212965276,3.511192346005769,1033.81
2010-04-14,250.05170796207304,3.652369140254601,1046.44
2010-04-15,61.142463759145,3.6999242277422906,1047.51
2010-04-16,45.4257534841754,3.639629022666787,1032.08
2010-04-19,11.167296111422203,3.6394021012364055,1011.29
2010-04-20,33.76479315789567,3.6093982045255975,1022.86
2010-04-21,-25.43965819372386,3.515297738361905,1026.89
2010-04-22,33.80647921178777,3.3469932867016015,1020.67
2010-04-23,20.67765541319068,3.2793630178529636,1024.07
2010-04-26,-17.540137518770017,3.1707008609912757,1035.22
2010-04-27,81.04328453615283,3.185326677355027,1020.24
2010-04-28,0.04669374393645276,3.0943396340583833,1005.27
2010-04-29,-4.2201304514325,3.0831277105697548,1014.08
2010-04-30,3011.6483756246416,6.009497866565649,1020.03
2010-05-03,47.238832401136115,5.972387426321654,1008.31
2010-05-04,17.00793971584597,5.918447244529746,990.64
2010-05-05,24.9220644212934,5.852572956590819,970.24
2010-05-06,9.177174121647356,5.781356220280934,948.54
2010-05-07,-60.566478328210515,5.660908033407558,927.04
2010-05-10,2.234425104074258,5.693372008931444,967.23
2010-05-11,-10.870790963744794,5.626290887449409,958.83
2010-05-12,56.50833271837452,5.585108476300866,968.0
2010-05-13,7.695953843936648,5.550839251882122,975.56
2010-05-14,55.95737471014814,5.5041806442374,959.81
