date,price,holdings in troy ounce
2010-01-01,1097.35,58001799.0
2010-01-04,1121.28,57844729.0
2010-01-05,1118.05,57843759.0
2010-01-06,1138.25,57672669.0
2010-01-07,1131.75,57658809.0
2010-01-08,1138.23,57505979.0
2010-01-11,1151.85,57513069.0
2010-01-12,1128.48,57419689.0
2010-01-13,1138.18,57394659.0
2010-01-14,1142.75,57315969.0
2010-01-15,1130.93,57340559.0
2010-01-18,1134.1,57341549.0
2010-01-19,1138.35,57311259.0
2010-01-20,1111.3,57311179.0
2010-01-21,1094.05,57316409.0
2010-01-22,1093.23,57320789.0
2010-01-25,1098.4,57319369.0
2010-01-26,1097.65,57280939.0
2010-01-27,1087.95,57278309.0
2010-01-28,1086.95,57248179.0
2010-01-29,1081.2,57266764.0
2010-02-01,1105.55,57247256.0
2010-02-02,1114.45,57212184.0
2010-02-03,1109.8,57177420.0
2010-02-04,1063.53,57104432.0
2010-02-05,1066.25,57254876.0
2010-02-08,1062.85,57175852.0
2010-02-09,1078.1,57148664.0
2010-02-10,1072.1,57133776.0
2010-02-11,1095.47,57131160.0
2010-02-12,1097.1,57119892.0
2010-02-15,1100.9,57133020.0
2010-02-16,1119.4,57216136.0
2010-02-17,1106.85,57216072.0
2010-02-18,1109.0,57283708.0
2010-02-19,1119.2,57225280.0
2010-02-22,1114.28,57237428.0
2010-02-23,1103.33,57203956.0
2010-02-24,1097.63,57168648.0
2010-02-25,1106.2,57541356.0
2010-02-26,1117.59,57536068.91
2010-03-01,1118.85,57497024.91
2010-03-02,1134.65,57667868.91
2010-03-03,1139.95,57794964.91
2010-03-04,1132.1,57757464.91
2010-03-05,1134.9,57788616.91
2010-03-08,1123.63,57794256.91
2010-03-09,1121.85,57789344.91
2010-03-10,1108.5,57779828.91
2010-03-11,1109.55,57730408.91
2010-03-12,1101.85,57808836.91
2010-03-15,1108.45,57829112.91
2010-03-16,1127.78,57782956.91
2010-03-17,1120.43,57710164.91
2010-03-18,1127.4,57692936.91
2010-03-19,1107.05,57610000.91
2010-03-22,1102.2,57735688.91
2010-03-23,1105.18,57968296.91
2010-03-24,1086.7,57951312.91
2010-03-25,1090.5,58090388.91
2010-03-26,1107.25,58088784.91
2010-03-29,1109.78,58195444.91
2010-03-30,1103.55,58194372.91
2010-03-31,1113.25,58238268.94
2010-04-01,1126.78,58238260.94
2010-04-02,1123.8,58238260.94
2010-04-05,1131.85,58297044.94
2010-04-06,1134.28,58296204.94
2010-04-07,1149.4,58346928.94
2010-04-08,1150.61,58666252.94
2010-04-09,1161.75,58667104.94
2010-04-12,1156.3,58612300.94
2010-04-13,1150.68,58661496.94
2010-04-14,1155.4,58631684.94
2010-04-15,1159.26,58660164.94
2010-04-16,1137.41,58738524.94
2010-04-19,1135.75,58761196.94
2010-04-20,1140.76,58761124.94
2010-04-21,1146.78,58773824.94
2010-04-22,1141.58,58768320.94
2010-04-23,1157.73,58798068.94
2010-04-26,1153.53,59057552.94
2010-04-27,1167.95,59077068.94
2010-04-28,1165.78,59292972.94
2010-04-29,1167.03,59527684.94
2010-04-30,1179.03,59545664.75
2010-05-03,1182.23,59582048.75
2010-05-04,1171.01,59577216.75
2010-05-05,1175.08,59828068.75
2010-05-06,1208.7,60537596.75
2010-05-07,1208.4,60697820.75
2010-05-10,1203.14,60918904.75
2010-05-11,1232.7,60659386.95
2010-05-12,1239.0,61343182.95
2010-05-13,1232.65,61351477.95
2010-05-14,1232.98,61541489.95
2010-05-17,1222.3,61873601.95
2010-05-18,1225.18,61758817.95
2010-05-19,1193.73,62036737.95
2010-05-20,1182.45,62125457.95
2010-05-21,1177.08,62160049.95
2010-05-24,1191.73,62802081.95
2010-05-25,1204.35,63872825.95
2010-05-26,1211.7,63897666.45
2010-05-27,1212.63,63738885.75
2010-05-28,1214.73,63846033.0
2010-05-31,1216.3,63851233.0
2010-06-01,1225.78,63902102.0
2010-06-02,1223.55,63901954.0
2010-06-03,1206.55,64603975.0
2010-06-04,1220.03,64555115.0
2010-06-07,1240.35,64739155.0
2010-06-08,1236.58,65163167.0
2010-06-09,1233.4,65214687.0
2010-06-10,1216.53,65483223.0
2010-06-11,1226.58,65524103.0
2010-06-14,1221.15,65628299.0
2010-06-15,1234.25,65685675.0
2010-06-16,1229.1,65696915.0
2010-06-17,1245.16,65781555.0
2010-06-18,1256.8,65801307.0
2010-06-21,1233.65,65786475.0
2010-06-22,1239.9,65984691.0
2010-06-23,1237.33,66028243.0
2010-06-24,1243.35,66242043.0
2010-06-25,1255.68,66371115.0
2010-06-28,1238.94,66410755.0
2010-06-29,1240.58,66536475.0
2010-06-30,1242.38,66840547.2
2010-07-01,1198.69,66812091.2
2010-07-02,1211.65,66852148.43
2010-07-05,1208.93,66852147.46
2010-07-06,1192.6,66914123.09
2010-07-07,1202.78,67013250.74
2010-07-08,1198.25,67010770.48
2010-07-09,1211.71,67006554.11
2010-07-12,1196.85,67092801.18
2010-07-13,1212.3,67126656.83
