Date,USD,EUR,Germany,France,Spain,Italy,GBP,JPY,AUD,NZD,CAD,CHF,SEK,NOK,CZK,PLN,HUF,ILS,ZAR,TRY,RUB,BRL,MXN,CLP,COP,INR,IDR,PHP,THB,MYR,SGD,KRW,TWD,CNY
2000-01-28,100.0,,,,,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,
2000-02-28,100.0,,,,,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,,
2000-03-30,100.0,,,,,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,,
2000-04-27,100.0,,,,,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,,
2000-05-30,100.0,,,,,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,,
2000-06-29,100.0,,,,,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,,100.0
2000-07-28,100.0,,,,,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,,100.0
2000-08-30,100.0,,,,,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,,100.0
2000-09-28,100.0,,,,,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,,100.0
2000-10-30,100.0,,,,,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,,100.0
2000-11-29,100.0,,,,,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,,100.0
2000-12-28,100.0,,,,,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,,100.0
2001-01-30,-100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,-50.0,,0.0,100.0,100.0,100.0,,,,,,,,,100.0,,,,,,100.0,,100.0,100.0,,100.0
2001-02-27,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-50.0,,-50.0,100.0,0.0,0.0,,,,,,,,,100.0,,,,,,0.0,,0.0,0.0,,100.0
2001-03-29,-50.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,-50.0,,0.0,0.0,0.0,0.0,,,,,,,,,100.0,,,,,,0.0,,0.0,0.0,,100.0
2001-04-27,-100.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,-50.0,,-50.0,0.0,0.0,0.0,,,,,,,,,100.0,,,,,,-100.0,,-100.0,0.0,,100.0
2001-05-30,-100.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,-100.0,-50.0,,0.0,0.0,0.0,0.0,,,,,,,,,-100.0,,,,,,100.0,,-100.0,0.0,,100.0
2001-06-28,-100.0,-100.0,0.0,-100.0,0.0,-100.0,0.0,-100.0,-50.0,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,-100.0,0.0,,0.0
2001-07-30,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50.0,-100.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,-100.0,0.0,,0.0
2001-08-30,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50.0,-100.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,-100.0,0.0,,0.0
2001-09-27,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,-100.0,-50.0,,-100.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,-100.0,,-100.0,100.0,,0.0
2001-10-30,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50.0,-100.0,50.0,,-100.0,-100.0,0.0,0.0,,,,,,,100.0,,100.0,,,,,,0.0,,-100.0,0.0,,100.0
2001-11-29,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50.0,-100.0,100.0,,-50.0,-100.0,0.0,0.0,,,,,,,100.0,,100.0,,,,,,0.0,,-100.0,100.0,,100.0
2001-12-28,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50.0,-100.0,100.0,,-50.0,-100.0,0.0,-100.0,,,,,,,100.0,,100.0,,,,,,-100.0,,0.0,100.0,,0.0
2002-01-30,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50.0,-100.0,50.0,,0.0,-100.0,0.0,-100.0,,,,,,,100.0,,-100.0,,,,,,0.0,,100.0,100.0,,0.0
2002-02-27,20.0,-33.33333333333333,-100.0,-100.0,-100.0,-100.0,-40.0,-66.66666666666666,40.0,0.0,100.0,-100.0,0.0,-33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0,0.0,-100.0,100.0,100.0,100.0,0.0,66.66666666666666,100.0,100.0,66.66666666666666
2002-03-28,20.0,-33.33333333333333,-100.0,-100.0,-100.0,-100.0,-20.0,-33.33333333333333,60.0,0.0,100.0,-100.0,33.33333333333333,-66.66666666666666,-100.0,0.0,100.0,0.0,0.0,0.0,50.0,-100.0,100.0,-100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666
2002-04-29,33.33333333333333,-25.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,66.66666666666666,-100.0,83.33333333333334,-100.0,0.0,0.0,100.0,100.0,-100.0,0.0,100.0,0.0,100.0,100.0,75.0,50.0,-100.0,-100.0,100.0,50.0,75.0,50.0,100.0,75.0,100.0,0.0
2002-05-30,0.0,-25.0,-100.0,-100.0,-100.0,0.0,-33.33333333333333,0.0,83.33333333333334,-50.0,83.33333333333334,-100.0,75.0,25.0,66.66666666666666,0.0,-50.0,0.0,50.0,0.0,66.66666666666666,50.0,0.0,-100.0,-50.0,-50.0,0.0,0.0,75.0,100.0,50.0,100.0,-100.0,25.0
2002-06-27,-33.33333333333333,-100.0,-100.0,-100.0,-100.0,0.0,16.666666666666664,50.0,100.0,-50.0,100.0,-100.0,0.0,-50.0,-33.33333333333333,100.0,-50.0,0.0,100.0,0.0,66.66666666666666,-100.0,100.0,-50.0,0.0,-50.0,50.0,-100.0,100.0,50.0,75.0,25.0,-50.0,25.0
2002-07-30,0.0,-100.0,-100.0,-100.0,-100.0,0.0,33.33333333333333,50.0,83.33333333333334,-100.0,33.33333333333333,-100.0,0.0,0.0,-33.33333333333333,-100.0,100.0,0.0,100.0,-100.0,-33.33333333333333,-100.0,75.0,0.0,50.0,-100.0,-50.0,-50.0,75.0,50.0,0.0,75.0,0.0,50.0
2002-08-29,-33.33333333333333,-100.0,-100.0,-100.0,0.0,-100.0,33.33333333333333,50.0,83.33333333333334,-33.33333333333333,33.33333333333333,0.0,0.0,-25.0,-33.33333333333333,0.0,50.0,0.0,50.0,-50.0,0.0,-100.0,-50.0,-100.0,50.0,-100.0,-100.0,-100.0,50.0,-100.0,0.0,0.0,-100.0,75.0
2002-09-27,0.0,-100.0,-100.0,-100.0,0.0,-100.0,66.66666666666666,100.0,33.33333333333333,0.0,66.66666666666666,-100.0,0.0,0.0,33.33333333333333,-100.0,0.0,0.0,100.0,0.0,0.0,0.0,-75.0,-50.0,-100.0,-50.0,-50.0,100.0,100.0,-50.0,0.0,-25.0,-50.0,75.0
2002-10-30,-33.33333333333333,-100.0,-100.0,-100.0,0.0,-100.0,50.0,0.0,66.66666666666666,-33.33333333333333,33.33333333333333,-100.0,0.0,-25.0,-33.33333333333333,-50.0,-50.0,0.0,-100.0,100.0,50.0,-100.0,0.0,0.0,-50.0,100.0,-50.0,50.0,75.0,-50.0,0.0,25.0,-50.0,50.0
2002-11-28,0.0,-25.0,0.0,-100.0,0.0,0.0,33.33333333333333,50.0,-16.666666666666664,0.0,33.33333333333333,100.0,-25.0,-75.0,-33.33333333333333,100.0,-100.0,0.0,-100.0,50.0,-50.0,-50.0,50.0,0.0,-50.0,50.0,-100.0,50.0,75.0,0.0,50.0,-50.0,-100.0,100.0
2002-12-30,33.33333333333333,-50.0,100.0,0.0,0.0,0.0,33.33333333333333,100.0,66.66666666666666,33.33333333333333,66.66666666666666,100.0,-100.0,-100.0,33.33333333333333,100.0,-100.0,0.0,0.0,100.0,25.0,100.0,25.0,-100.0,100.0,100.0,-50.0,100.0,100.0,100.0,50.0,-25.0,100.0,75.0
2003-01-30,-42.857142857142854,-20.0,33.33333333333333,33.33333333333333,33.33333333333333,-33.33333333333333,0.0,20.0,28.57142857142857,25.0,28.57142857142857,100.0,-80.0,-80.0,25.0,25.0,-66.66666666666666,0.0,50.0,80.0,25.0,66.66666666666666,40.0,-33.33333333333333,50.0,66.66666666666666,-66.66666666666666,0.0,75.0,66.66666666666666,80.0,0.0,66.66666666666666,75.0
2003-02-27,-14.285714285714285,-20.0,100.0,-33.33333333333333,-33.33333333333333,-33.33333333333333,-14.285714285714285,66.66666666666666,28.57142857142857,75.0,-42.857142857142854,100.0,-60.0,-60.0,75.0,25.0,-25.0,0.0,50.0,80.0,50.0,33.33333333333333,-20.0,0.0,50.0,66.66666666666666,-100.0,33.33333333333333,100.0,66.66666666666666,40.0,-100.0,-100.0,50.0
2003-03-28,-71.42857142857143,-60.0,100.0,-33.33333333333333,-33.33333333333333,-33.33333333333333,-14.285714285714285,66.66666666666666,14.285714285714285,0.0,-14.285714285714285,100.0,20.0,-60.0,0.0,50.0,50.0,0.0,-100.0,20.0,100.0,-33.33333333333333,-20.0,-33.33333333333333,100.0,-33.33333333333333,-66.66666666666666,-33.33333333333333,-50.0,-33.33333333333333,20.0,-20.0,-33.33333333333333,0.0
2003-04-29,-50.0,-83.33333333333334,0.0,-100.0,-50.0,-100.0,-62.5,42.857142857142854,-50.0,60.0,-25.0,100.0,0.0,-33.33333333333333,-20.0,80.0,40.0,0.0,-50.0,50.0,25.0,-25.0,0.0,100.0,-100.0,-50.0,-100.0,-25.0,-50.0,-100.0,0.0,0.0,0.0,-50.0
