,OECD,Eurozone,G7,Asia5,USD,EUR,Germany,France,Spain,Italy,GBP,JPY,AUD,NZD,CAD,CHF,SEK,NOK,CZK,PLN,HUF,ILS,ZAR,TRY,RUB,BRL,MXN,CLP,INR,IDR,KRW,CNY
2000-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-30,101.49,,101.09,,99.62,103.68,105.34,101.76,105.55,103.7,102.21,100.56,92.74,,101.01,106.06,110.62,105.21,,,,,,,,,103.32,,,,,
2001-02-27,101.24,,100.83,,99.58,102.82,104.32,100.86,106.26,102.13,103.26,100.66,93.34,,98.97,106.0,108.05,104.81,,,,,,,,,104.12,,,,,
2001-03-29,101.5,,101.33,,100.81,102.57,104.34,99.72,103.44,101.79,101.85,100.44,93.17,,101.49,105.95,107.77,103.52,,,,,,,,,101.96,,,,,
2001-04-27,100.55,,100.4,,99.89,101.33,102.52,98.15,103.54,100.35,100.78,100.1,92.55,,99.95,104.77,106.44,102.78,,,,,,,,,102.9,,,,,
2001-05-30,98.99,,98.8,,98.59,98.92,101.31,97.74,104.77,93.6,100.45,98.93,92.8,,101.34,103.16,106.5,102.86,,,,,,,,,97.75,,,,,
2001-06-28,98.15,,97.77,,97.24,98.71,100.11,97.31,104.04,95.69,100.53,96.86,93.24,,100.7,102.41,106.14,102.19,,,,,,,,,100.81,,,,,
