date,USD,EUR,France,Germany,Italy,Spain,GBP,AUD,JPY,JPY1,CAD,NOK,SEK,CZK,PLN,HUF,BRL,MXN,TRY,ZAR,ILS,RUB,INR,IDR,KRW,SGD,MYR,PHP,THB,TWD,CNY
1990-01-31,47.2,,,,,,,,,101.4,,,,,,,,,,,,,,,,,,,,,
1990-02-28,49.1,,,,,,,,,102.0,,,,,,,,,,,,,,,,,,,,,
1990-03-31,49.9,,,,,,,,,101.0,,,,,,,,,,,,,,,,,,,,,
1990-04-30,50.0,,,,,,,,,101.7,,,,,,,,,,,,,,,,,,,,,
1990-05-31,49.5,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,
1990-06-30,49.2,,,,,,,,,102.5,,,,,,,,,,,,,,,,,,,,,
1990-07-31,46.6,,,,,,,,,101.5,,,,,,,,,,,,,,,,,,,,,
1990-08-31,46.1,,,,,,,,,100.4,,,,,,,,,,,,,,,,,,,,,
1990-09-30,44.5,,,,,,,,,98.8,,,,,,,,,,,,,,,,,,,,,
1990-10-31,43.2,,,,,,,,,99.3,,,,,,,,,,,,,,,,,,,,,
1990-11-30,41.3,,,,,,,,,98.5,,,,,,,,,,,,,,,,,,,,,
1990-12-31,40.8,,,,,,,,,98.6,,,,,,,,,,,,,,,,,,,,,
1991-01-31,39.2,,,,,,,,,97.6,,,,,,,,,,,,,,,,,,,,,
1991-02-28,39.4,,,,,,,,,96.5,,,,,,,,,,,,,,,,,,,,,
1991-03-31,40.7,,,,,,,,,95.5,,,,,,,,,,,,,,,,,,,,,
1991-04-30,42.8,,,,,,,,,94.6,,,,,,,,,,,,,,,,,,,,,
1991-05-31,44.5,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,
1991-06-30,50.3,,,,,,,,,92.4,,,,,,,,,,,,,,,,,,,,,
1991-07-31,50.6,,,,,,,,,92.1,,,,,,,,,,,,,,,,,,,,,
1991-08-31,52.9,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,
1991-09-30,54.9,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,
1991-10-31,53.1,,,,,,,,,89.9,,,,,,,,,,,,,,,,,,,,,
1991-11-30,49.5,,,,,,,,,88.8,,,,,,,,,,,,,,,,,,,,,
1991-12-31,46.8,,,,,,,,,87.4,,,,,,,,,,,,,,,,,,,,,
1992-01-31,47.3,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,
1992-02-29,52.7,,,,,,,,,86.5,,,,,,,,,,,,,,,,,,,,,
1992-03-31,54.6,,,,,,,,,85.9,,,,,,,,,,,,,,,,,,,,,
1992-04-30,52.6,,,,,,,,,84.2,,,,,,,,,,,,,,,,,,,,,
1992-05-31,55.7,,,,,,,,,83.7,,,,,,,,,,,,,,,,,,,,,
1992-06-30,53.6,,,,,,,,,83.3,,,,,,,,,,,,,,,,,,,,,
1992-07-31,53.9,,,,,,,,,82.7,,,,,,,,,,,,,,,,,,,,,
1992-08-31,53.4,,,,,,,,,82.1,,,,,,,,,,,,,,,,,,,,,
1992-09-30,49.7,,,,,,,,,82.6,,,,,,,,,,,,,,,,,,,,,
1992-10-31,50.3,,,,,,,,,80.9,,,,,,,,,,,,,,,,,,,,,
1992-11-30,53.6,,,,,,,,,80.5,,,,,,,,,,,,,,,,,,,,,
1992-12-31,54.2,,,,,,,,,81.2,,,,,,,,,,,,,,,,,,,,,
1993-01-31,55.8,,,,,,,,,81.1,,,,,,,,,,,,,,,,,,,,,
1993-02-28,55.2,,,,,,,,,82.2,,,,,,,,,,,,,,,,,,,,,
1993-03-31,53.5,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,
1993-04-30,50.2,,,,,,,,,82.8,,,,,,,,,,,,,,,,,,,,,
