date,3m pnl,3m sharpe
2000-01-03,,
2000-01-04,,
2000-01-05,,
2000-01-06,,
2000-01-07,,
2000-01-10,,
2000-01-11,,
2000-01-12,,
2000-01-13,,
2000-01-14,,
2000-01-17,,
2000-01-18,,
2000-01-19,,
2000-01-20,,
2000-01-21,,
2000-01-24,,
2000-01-25,,
2000-01-26,,
2000-01-27,,
2000-01-28,,
2000-01-31,,
2000-02-01,,
2000-02-02,,
2000-02-03,,
2000-02-04,,
2000-02-07,,
2000-02-08,,
2000-02-09,,
2000-02-10,,
2000-02-11,,
2000-02-14,,
2000-02-15,,
2000-02-16,,
2000-02-17,,
2000-02-18,,
2000-02-21,,
2000-02-22,,
2000-02-23,,
2000-02-24,,
2000-02-25,,
2000-02-28,,
2000-02-29,,
2000-03-01,,
2000-03-02,,
2000-03-03,,
2000-03-06,,
2000-03-07,,
2000-03-08,,
2000-03-09,,
2000-03-10,,
2000-03-13,,
2000-03-14,,
2000-03-15,,
2000-03-16,,
2000-03-17,,
2000-03-20,,
2000-03-21,,
2000-03-22,,
2000-03-23,,
2000-03-24,,
2000-03-27,,
2000-03-28,,
2000-03-29,,
2000-03-30,,
2000-03-31,,
2000-04-03,-0.04020037192736855,-0.9057137731479483
2000-04-04,-0.023399959120337155,-0.5486612994755646
2000-04-05,-0.019000670365741146,-0.4472369599818785
2000-04-06,-0.012199334203859566,-0.28863144053843875
2000-04-07,0.010299880871408755,0.24263460784500457
2000-04-10,-0.003700768850877904,-0.08727374215198314
2000-04-11,-0.03979977594983176,-0.9712363122635176
2000-04-12,-0.052200124593284165,-1.2738600936339055
2000-04-13,-0.047999370051213436,-1.1710714198380967
2000-04-14,-0.06280056649451018,-1.5804836862996554
2000-04-17,-0.0659001974466859,-1.6605121689515334
2000-04-18,-0.09149940415190326,-2.3974482114970788
2000-04-19,-0.08619968130230668,-2.255220327065493
2000-04-20,-0.08940048945861322,-2.33591183182176
2000-04-21,-0.08660046676671118,-2.2606086956196787
2000-04-24,-0.08279995750043333,-2.1623909256295217
2000-04-25,-0.07709980152532009,-2.0052695416882433
2000-04-26,-0.06659974241467359,-1.7433564845493819
2000-04-27,-0.07810051493861372,-2.0705185598518483
2000-04-28,-0.08229961118522049,-2.185502356838085
2000-05-01,-0.09559941619630326,-2.53397247242498
2000-05-02,-0.09919983950705333,-2.6169941442449614
2000-05-03,-0.08589961199027542,-2.2917203057320714
2000-05-04,-0.062299860157789384,-1.7598345366743429
2000-05-05,-0.08919956560546546,-2.596017200235975
2000-05-08,-0.09689959644647979,-2.872347300703545
2000-05-09,-0.08419978078122445,-2.548853783013984
2000-05-10,-0.08109992535730029,-2.4440725928350244
2000-05-11,-0.07749917561079528,-2.2982302056557473
2000-05-12,-0.09000010545827548,-2.586089031737136
2000-05-15,-0.08549955190662338,-2.438885171166084
2000-05-16,-0.07909957436439775,-2.256427315041544
2000-05-17,-0.06509989766516516,-1.8025693653724364
2000-05-18,-0.05090063432739468,-1.3673688045946917
2000-05-19,-0.06699948104130006,-1.7787522120581907
2000-05-22,-0.07269998900916658,-1.9184341025860558
2000-05-23,-0.044199890784056485,-1.2465217835756626
2000-05-24,-0.03620005599640025,-0.9991645649664004
2000-05-25,-0.04219904399255898,-1.1624569910243627
2000-05-26,-0.05839948758749016,-1.5769277510390618
2000-05-29,-0.05199946516655086,-1.4078713234754003
2000-05-30,-0.0672997785765464,-1.851722174394134
2000-05-31,-0.06640038101258969,-1.8289758214914362
2000-06-01,-0.07510046179267682,-2.0799385071220287
2000-06-02,-0.10029955396517029,-2.6778436454895918
2000-06-05,-0.12679991901925805,-3.287433375861748
2000-06-06,-0.14289905917493645,-3.7010093731262113
2000-06-07,-0.11889975447251654,-3.171335418708108
2000-06-08,-0.10539974224418694,-2.8086851976523386
2000-06-09,-0.09269968544224266,-2.422607165985048
2000-06-12,-0.07550038839012146,-1.9808539290182838
2000-06-13,-0.05930024853470833,-1.5417558777490807
2000-06-14,-0.055599505205837375,-1.4444995380915804
2000-06-15,-0.0641990447763712,-1.6635640445615107
2000-06-16,-0.07519979722278784,-1.973855235226727
2000-06-19,-0.0711007159229028,-1.8781847999293428
2000-06-20,-0.08270031094227073,-2.2227645680913897
2000-06-21,-0.08839967520431871,-2.378351289479711
2000-06-22,-0.08439921546098864,-2.27721138150693
2000-06-23,-0.0673003246528707,-1.8367775168950538
2000-06-26,-0.06559945132874631,-1.7900275626492275
2000-06-27,-0.06650073603289237,-1.81522943965273
2000-06-28,-0.0682990501678431,-1.864213455455883
2000-06-29,-0.051699697606059206,-1.4066240618191415
2000-06-30,-0.07380007156892845,-2.0673002250117323
2000-07-03,-0.06209910261359543,-1.757672978031488
2000-07-04,-0.05229903407285299,-1.492295975612812
2000-07-05,-0.06139965220247083,-1.7259466934842616
2000-07-06,-0.06360056263692351,-1.7859711830304508
2000-07-07,-0.07599984557719205,-2.1748907888791122
2000-07-10,-0.07620013514300206,-2.1801386269599354
2000-07-11,-0.06459985657490486,-1.8710127153120635
2000-07-12,-0.054699189915455956,-1.5877196424441915
2000-07-13,-0.04519991055615859,-1.293157071785244
2000-07-14,-0.054199805214886015,-1.5549044472277413
2000-07-17,-0.06050021941857195,-1.730267985116105
2000-07-18,-0.0538007468609852,-1.5401045012570682
2000-07-19,-0.06310045468819679,-1.8033516122160391
2000-07-20,-0.057300268792322175,-1.640498840418641
2000-07-21,-0.05799899972166449,-1.6611164064828028
2000-07-24,-0.0648000859294385,-1.8492217986132395
2000-07-25,-0.06740038952758969,-1.9291584963313393
2000-07-26,-0.06220039620621889,-1.7722950101543355
2000-07-27,-0.05619979359290793,-1.5948010072164738
2000-07-28,-0.054100606223606525,-1.5347055956372204
2000-07-31,-0.05450044042510086,-1.5450177530310003
2000-08-01,-0.04620005217691331,-1.3227154155161704
